"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","talents.ssi.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","talents.ssi.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","talents.ssi.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","talents.ssi.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","talents.ssi.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","talents.ssi.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","talents.ssi.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","talents.ssi.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","talents.ssi.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","talents.ssi.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","talents.ssi.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","talents.ssi.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","talents.ssi.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","talents.ssi.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","talents.ssi.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","talents.ssi.gouv.fr/185.21.194.105","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","talents.ssi.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG","talents.ssi.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipherorder_TLSv1_2","talents.ssi.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","talents.ssi.gouv.fr/185.21.194.105","443","OK","server","",""
"protocol_negotiated","talents.ssi.gouv.fr/185.21.194.105","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","talents.ssi.gouv.fr/185.21.194.105","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","talents.ssi.gouv.fr/185.21.194.105","443","OK","offered","",""
"FS_ciphers","talents.ssi.gouv.fr/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","talents.ssi.gouv.fr/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","talents.ssi.gouv.fr/185.21.194.105","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","talents.ssi.gouv.fr/185.21.194.105","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","talents.ssi.gouv.fr/185.21.194.105","443","INFO","yes","",""
"sessionresumption_ticket","talents.ssi.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"sessionresumption_ID","talents.ssi.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"TLS_timestamp","talents.ssi.gouv.fr/185.21.194.105","443","INFO","random","",""
"certificate_compression","talents.ssi.gouv.fr/185.21.194.105","443","INFO","none","",""
"clientAuth","talents.ssi.gouv.fr/185.21.194.105","443","INFO","none","",""
"cert_numbers","talents.ssi.gouv.fr/185.21.194.105","443","INFO","1","",""
"cert_signatureAlgorithm","talents.ssi.gouv.fr/185.21.194.105","443","OK","SHA256 with RSA","",""
"cert_keySize","talents.ssi.gouv.fr/185.21.194.105","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","talents.ssi.gouv.fr/185.21.194.105","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","talents.ssi.gouv.fr/185.21.194.105","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","talents.ssi.gouv.fr/185.21.194.105","443","INFO","F4D366D82FBAA19EB2CF5FBC59DFA5C0","",""
"cert_serialNumberLen","talents.ssi.gouv.fr/185.21.194.105","443","INFO","16","",""
"cert_fingerprintSHA1","talents.ssi.gouv.fr/185.21.194.105","443","INFO","8709268BBB16C08AF8B244AA2EBE2EE3AC524E48","",""
"cert_fingerprintSHA256","talents.ssi.gouv.fr/185.21.194.105","443","INFO","9D06698B922B1C32DDAE541893FA4F15E291B2D1F4EA08E38156FC286919CA58","",""
"cert","talents.ssi.gouv.fr/185.21.194.105","443","INFO","-----BEGIN CERTIFICATE----- MIIIazCCBlOgAwIBAgIRAPTTZtgvuqGess9fvFnfpcAwDQYJKoZIhvcNAQELBQAw fTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAw MiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYx HTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTIyMDcxMTIyMDAwMFoX DTIzMDcxMTIxNTk1OVowgYExCzAJBgNVBAYTAkZSMREwDwYDVQQHDAhQQVJJUyBT UDEOMAwGA1UECgwFU0dEU04xHDAaBgNVBAsMEzAwMDIgMTIwMDAxMDI5MDAwMTIx HDAaBgNVBAMME3RhbGVudHMuc3NpLmdvdXYuZnIxEzARBgNVBAUTClMyNDIxMjEx MjgwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDGT8FdPTN10ipYO2x8 GQsn0fgja8QCdteIaSVWxxrRDJCZ3UaQdFbR7NyxiN5uLofxlYOaeEOeuC+1ijzw +OF1kcNPorTI8VVR/McNL4Cn4DVaTO/auEyPJnxZ/aroAeVkAHGK3FLhgyJnEDJB bNfrf6L+1f96ZJZwXKNrUgDgwFB88TQ79Lm6zKDdS91RAKqkYoPapU3BxxrB02OY yrJUIo2bKBBp+2XL42SObVk1t4C94F3oS1imaE7ZUlTt5vuToxA6ajtNqHC62gwu LlkUHJlKTH6BvxsoTRYHKJDlAVCS/7cePKJYVzIxvMe4ME80TV3M7uesu71XHoFF F2SpAgMBAAGjggPfMIID2zCB5AYIKwYBBQUHAQEEgdcwgdQwNgYIKwYBBQUHMAKG Kmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjA4Bggr BgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNj YS5kZXIwMAYIKwYBBQUHMAGGJGh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuZGhpbXlv dGlzLmNvbTAuBggrBgEFBQcwAYYiaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5jZXJ0 aWduYS5mcjAfBgNVHSMEGDAWgBSs7IaPSzccuH8XGxnQruhO4zRcEjAJBgNVHRME AjAAMGEGA1UdIARaMFgwCAYGZ4EMAQICMEwGCyqBegGBMQIFAQEBMD0wOwYIKwYB BQUHAgEWL2h0dHBzOi8vd3d3LmNlcnRpZ25hLmNvbS9hdXRvcml0ZS1jZXJ0aWZp Y2F0aW9uMGUGA1UdHwReMFwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIv c2VydmljZXNjYS5jcmwwLaAroCmGJ2h0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9z ZXJ2aWNlc2NhLmNybDATBgNVHSUEDDAKBggrBgEFBQcDATAOBgNVHQ8BAf8EBAMC BaAwNwYDVR0RBDAwLoIXd3d3LnRhbGVudHMuc3NpLmdvdXYuZnKCE3RhbGVudHMu c3NpLmdvdXYuZnIwHQYDVR0OBBYEFJxjbfAI5AwwjEoW+lkOo4AAT+ScMIIBfQYK KwYBBAHWeQIEAgSCAW0EggFpAWcAdQCt9776fP8QyIudPZwePhhqtGcpXc+xDCTK hYY069yCigAAAYHy84BeAAAEAwBGMEQCIAlich+3XXzJuo+YWMx77E8huyZatOy4 0vrIM1ZkBQzhAiA80pVWFG2Mz4jvVZEej8DRT6J8VX6B1yy3D/ABtROCUwB2AOg+ 0No+9QY1MudXKLyJa8kD08vREWvs62nhd31tBr1uAAABgfLzgHIAAAQDAEcwRQIh APLAPFKf0Rx7KlVVIj1/75KAg4klMb3dkIpp9Sgh7Xp0AiAwu6G2Rco3iFzx/7j5 KiydeyqWZrq5Pi3/ADLELyA5EgB2ADXPGRu/sWxXvw+tTG1Cy7u2JyAmUeo/4Srv qAPDO9ZMAAABgfLzhPYAAAQDAEcwRQIgEMjtJmXgujlxvOPyMh/pft8IxXirp2/g S88KTOCpXSQCIQDjd7xzRsce0Aaez2kszOQM+kxfQ6KBMM5gXhd65qVvQTANBgkq hkiG9w0BAQsFAAOCAgEAD97OvCkGXNtHBIrTw/UElo6G1Bd7k9/jtvi9yY644CFA P1RTvye84AX7kNWtKLkHYq3f2xlmFRMIzMaft0wtu6gsCTjniGDas1IY2SVixznA 2NtCbJERykpwomNUKwdkpIUiKJ6ZqvhRY0TTbB4/QetCLI/LU5i1bIdoaYpLuA1z DyanQ2TAwia9CK2eyxlEmgx/P0FArlO/89vaHTjn89jntqsILFsR/kbN3rcVwuKu JiIwoagm2kRwBmPNS4Anld6Qw3TAKwKA8NEkYJz7qDWpKQLGHfRW7+Kj3xDxa5g3 HBnqTwIY9i9GI3dsmAcDpiz4Vm1ZqdrUKAZ56L6LZdwMuHFtlnPBoT+vqjvMKgAB +xnJ2e/FbrfeRw8MzwznDVduXLZQBF8Auoz42GzvFtmHIINGd1LNIg62yKAfGXWZ z/dl6sQpFTTdrbiIBCVBiSsUid0U73MV/AgTge3tioZBv47HvSNWs7zOKNzzb5TX JVDPw3VBW5caV4igITcyHrGgxzuc+jVR+uepnGvMIk1ufbnmi33hJElx8yIQOYFr xmtNU4lv+mHPFq3VbXTTh0S0cfe+Ni78zcduolCzCEUS1YvlJzpT/0BQ972Lqvce ABBteCUbZrRYSpThRqEheSAj3/PUmjCjlVpq/dNVOYA5XZVHX1qa/8STxUpsAiA= -----END CERTIFICATE-----","",""
"cert_commonName","talents.ssi.gouv.fr/185.21.194.105","443","OK","talents.ssi.gouv.fr","",""
"cert_commonName_wo_SNI","talents.ssi.gouv.fr/185.21.194.105","443","INFO","*.osc-secnum-fr1.scalingo.io","",""
"cert_subjectAltName","talents.ssi.gouv.fr/185.21.194.105","443","INFO","www.talents.ssi.gouv.fr talents.ssi.gouv.fr","",""
"cert_trust","talents.ssi.gouv.fr/185.21.194.105","443","OK","Ok via SAN and CN (SNI mandatory)","",""
