"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","territoiresentransitions.fr/104.21.84.171","443","INFO","HTTP","",""
"pre_128cipher","territoiresentransitions.fr/104.21.84.171","443","INFO","No 128 cipher limit bug","",""
"SSLv2","territoiresentransitions.fr/104.21.84.171","443","OK","not offered","",""
"SSLv3","territoiresentransitions.fr/104.21.84.171","443","OK","not offered","",""
"TLS1","territoiresentransitions.fr/104.21.84.171","443","LOW","offered (deprecated)","",""
"TLS1_1","territoiresentransitions.fr/104.21.84.171","443","LOW","offered (deprecated)","",""
"TLS1_2","territoiresentransitions.fr/104.21.84.171","443","OK","offered","",""
"TLS1_3","territoiresentransitions.fr/104.21.84.171","443","OK","offered with final","",""
"ALPN_HTTP2","territoiresentransitions.fr/104.21.84.171","443","OK","h2","",""
"ALPN","territoiresentransitions.fr/104.21.84.171","443","INFO","http/1.1","",""
"cipherlist_NULL","territoiresentransitions.fr/104.21.84.171","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","territoiresentransitions.fr/104.21.84.171","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","territoiresentransitions.fr/104.21.84.171","443","OK","not offered","","CWE-327"
"cipherlist_LOW","territoiresentransitions.fr/104.21.84.171","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","territoiresentransitions.fr/104.21.84.171","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","territoiresentransitions.fr/104.21.84.171","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","territoiresentransitions.fr/104.21.84.171","443","INFO","not offered","",""
"cipherlist_STRONG","territoiresentransitions.fr/104.21.84.171","443","OK","offered","",""
"cipherorder_TLSv1","territoiresentransitions.fr/104.21.84.171","443","INFO","ECDHE-ECDSA-AES128-SHA","",""
"cipherorder_TLSv1_1","territoiresentransitions.fr/104.21.84.171","443","INFO","ECDHE-ECDSA-AES128-SHA","",""
"cipherorder_TLSv1_2","territoiresentransitions.fr/104.21.84.171","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","territoiresentransitions.fr/104.21.84.171","443","OK","server -- TLS 1.3 client determined","",""
"protocol_negotiated","territoiresentransitions.fr/104.21.84.171","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","territoiresentransitions.fr/104.21.84.171","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","territoiresentransitions.fr/104.21.84.171","443","OK","offered","",""
"FS_ciphers","territoiresentransitions.fr/104.21.84.171","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305-OLD","",""
"FS_ECDHE_curves","territoiresentransitions.fr/104.21.84.171","443","OK","prime256v1","",""
"TLS_extensions","territoiresentransitions.fr/104.21.84.171","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16' 'compress_certificate/#27'","",""
"TLS_session_ticket","territoiresentransitions.fr/104.21.84.171","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","territoiresentransitions.fr/104.21.84.171","443","INFO","yes","",""
"sessionresumption_ticket","territoiresentransitions.fr/104.21.84.171","443","INFO","supported","",""
"sessionresumption_ID","territoiresentransitions.fr/104.21.84.171","443","INFO","not supported","",""
"TLS_timestamp","territoiresentransitions.fr/104.21.84.171","443","INFO","off by 0 seconds from your localtime","",""
"certificate_compression","territoiresentransitions.fr/104.21.84.171","443","INFO","0002/Brotli","",""
"clientAuth","territoiresentransitions.fr/104.21.84.171","443","INFO","none","",""
"cert_numbers","territoiresentransitions.fr/104.21.84.171","443","INFO","1","",""
"cert_signatureAlgorithm","territoiresentransitions.fr/104.21.84.171","443","OK","ECDSA with SHA384","",""
"cert_keySize","territoiresentransitions.fr/104.21.84.171","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","territoiresentransitions.fr/104.21.84.171","443","INFO","Digital Signature","",""
"cert_extKeyUsage","territoiresentransitions.fr/104.21.84.171","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","territoiresentransitions.fr/104.21.84.171","443","INFO","03E21DC54DD019646DA69E19FA8718B15E45","",""
"cert_serialNumberLen","territoiresentransitions.fr/104.21.84.171","443","INFO","18","",""
"cert_fingerprintSHA1","territoiresentransitions.fr/104.21.84.171","443","INFO","BA1307AACB8543DACB3BC93D9099D7E5ADC67148","",""
"cert_fingerprintSHA256","territoiresentransitions.fr/104.21.84.171","443","INFO","12971E7E58F00C1BAA6AA83F9053B94A607BBF7B42F031FFF2ADF3486A9459DC","",""
