"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","HTTP","",""
"pre_128cipher","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","No 128 cipher limit bug","",""
"SSLv2","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","not offered","",""
"SSLv3","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","not offered","",""
"TLS1","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","not offered","",""
"TLS1_1","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","is not offered","",""
"TLS1_2","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","offered","",""
"TLS1_3","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","offered with final","",""
"ALPN_HTTP2","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","h2","",""
"ALPN","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","http/1.1","",""
"cipherlist_NULL","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","not offered","","CWE-327"
"cipherlist_LOW","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","not offered","",""
"cipherlist_STRONG","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","offered","",""
"cipher_order","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","server","",""
"protocol_negotiated","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","offered","",""
"FS_ciphers","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","yes","",""
"sessionresumption_ticket","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","not supported","",""
"sessionresumption_ID","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","not supported","",""
"TLS_timestamp","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","random","",""
"clientAuth","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","none","",""
"cert_numbers","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","1","",""
"cert_signatureAlgorithm","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","SHA256 with RSA","",""
"cert_keySize","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","0464D28918FB924095BEAB34D5F73B0E6A9B","",""
"cert_fingerprintSHA1","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","1A467F01CA450D4EF5823351407D60CD95C643C5","",""
"cert_fingerprintSHA256","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","D1DB08528A45F8AD4354E112EF54F5841B24FE4B9DBBF029A9CCBD356B5E50A0","",""
"cert","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","-----BEGIN CERTIFICATE----- MIIFUDCCBDigAwIBAgISBGTSiRj7kkCVvqs01fc7DmqbMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMTAzMjYwOTA4MTdaFw0yMTA2MjQwOTA4MTdaMDAxLjAsBgNVBAMT JXZvbG9udGFpcmVzLmZvbmN0aW9uLXB1YmxpcXVlLmdvdXYuZnIwggEiMA0GCSqG SIb3DQEBAQUAA4IBDwAwggEKAoIBAQDdyU4sqYpIg9BRq3CamMyzQ2j3tKpZ6+0q jj15vUALwX0oZ1vDS2qkf/cydR+S3sWMEAlTsHCdOIV9/kkXkBRlEGhN3F52zzk/ vBaFljj5ZW0yqplxUDU2geEQzhtezukb2+cM39HneBOKjmB7o+VT5klvvealErbS VXpGUV/tuD7tXOpb8wUQ7QCI9GWauqWFxsSUjcJIzu9uXVZG0Ur2d64N+YLrtp8k Up1oUgabS0Tfm3S7eFhJdBRx+kssi78/FDvL/iv4NVrMxGcm0T9eFo4cb3EyNG5P UUchTLB77ZCa0ywzPTss/skXq7DJmIji5XBq5utBIr+wgVUwcFXzAgMBAAGjggJg MIICXDAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUF BwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFEDHPOOHJeW/qWgSwP/DTc/oYjAN MB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkw RzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAC hhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMDAGA1UdEQQpMCeCJXZvbG9udGFpcmVz LmZvbmN0aW9uLXB1YmxpcXVlLmdvdXYuZnIwTAYDVR0gBEUwQzAIBgZngQwBAgEw NwYLKwYBBAGC3xMBAQEwKDAmBggrBgEFBQcCARYaaHR0cDovL2Nwcy5sZXRzZW5j cnlwdC5vcmcwggEEBgorBgEEAdZ5AgQCBIH1BIHyAPAAdgBElGUusO7Or8RAB9io /ijA2uaCvtjLMbU/0zOWtbaBqAAAAXhuAYePAAAEAwBHMEUCIQD45AJOYbUNu/0X ai6IYrT7yPOGz+V/2cpYyTdv3FhLIQIgOhskvUvkyEUHfpEpXfJAqPi6ge+cNv3a 7wCHw17eXN4AdgD2XJQv0XcwIhRUGAgwlFaO400TGTO/3wwvIAvMTvFk4wAAAXhu AYd1AAAEAwBHMEUCIQDUIHfQNXsxsQ595cGeprZYtIwAgukZublhWKLapBYbfAIg BuGsb/k1HYeOvPayy5neHpmn3INqbrtG0I8tMSvPTGAwDQYJKoZIhvcNAQELBQAD ggEBAImAnpkRdig+chNeiAV1BKHN0XuzAHb39h+kt9E7D4SesNPVP3U69ta6hdfs kq+Zq905MMes0XJI3zJpCnCraaNejs04FwwY3IUTX00OxaUzNStaqgpHWByxkfyC t+Zit4Z68JUsujb7k4EvZBeY+CyRF+6GDnf73AgaXQhe4c7/ksxwBHsnMCh1qiOY 83Ib/X9gqDk8qRlNNANzQ+1gjLSZc+yoTyJ+NTJR6TKNPEUpkItFin9kkO7p5i/K m6DBG33bq4GB6qek5xui0Bfc6i5ZQNFZjU2JiKz/ozOAiC6f9OxBHTHz0dvzDQP4 AgdHn/5DjE4uat5y4CN44CJ9B5g= -----END CERTIFICATE-----","",""
"cert_commonName","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","volontaires.fonction-publique.gouv.fr","",""
"cert_commonName_wo_SNI","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","*.osc-secnum-fr1.scalingo.io","",""
"cert_subjectAltName","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","volontaires.fonction-publique.gouv.fr","",""
"cert_trust","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","passed.","",""
"cert_certificatePolicies_EV","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","no","",""
"cert_expirationStatus","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","47 >= 30 days","",""
"cert_notBefore","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","2021-03-26 09:08","",""
"cert_notAfter","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","2021-06-24 09:08","",""
"cert_extlifeSpan","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","not present","",""
"cert_crlDistributionPoints","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","--","",""
"cert_ocspURL","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","LOW","not offered","",""
"cert_mustStapleExtension","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","--","",""
"DNS_CAArecord","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","issue=letsencrypt.org, issue=sectigo.com","",""
"certificate_transparency","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","OK","yes (certificate extension)","",""
"certs_countServer","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","2","",""
"certs_list_ordering_problem","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","no","",""
"cert_caIssuers","volontaires.fonction-publique.gouv.fr/148.253.96.24","443","INFO","R3 (Let's Encrypt from US)","",""
