"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.data.gouv.fr/37.59.183.93","443","INFO","HTTP","",""
"pre_128cipher","www.data.gouv.fr/37.59.183.93","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.data.gouv.fr/37.59.183.93","443","OK","not offered","",""
"SSLv3","www.data.gouv.fr/37.59.183.93","443","OK","not offered","",""
"TLS1","www.data.gouv.fr/37.59.183.93","443","LOW","offered (deprecated)","",""
"TLS1_1","www.data.gouv.fr/37.59.183.93","443","LOW","offered (deprecated)","",""
"TLS1_2","www.data.gouv.fr/37.59.183.93","443","OK","offered","",""
"TLS1_3","www.data.gouv.fr/37.59.183.93","443","OK","offered with final","",""
"ALPN","www.data.gouv.fr/37.59.183.93","443","INFO","not offered","",""
"cipherlist_NULL","www.data.gouv.fr/37.59.183.93","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.data.gouv.fr/37.59.183.93","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.data.gouv.fr/37.59.183.93","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.data.gouv.fr/37.59.183.93","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.data.gouv.fr/37.59.183.93","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.data.gouv.fr/37.59.183.93","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.data.gouv.fr/37.59.183.93","443","OK","offered","",""
"cipherlist_STRONG","www.data.gouv.fr/37.59.183.93","443","OK","offered","",""
"cipher_order","www.data.gouv.fr/37.59.183.93","443","OK","server","",""
"protocol_negotiated","www.data.gouv.fr/37.59.183.93","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","www.data.gouv.fr/37.59.183.93","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1","www.data.gouv.fr/37.59.183.93","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipherorder_TLSv1_1","www.data.gouv.fr/37.59.183.93","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipherorder_TLSv1_2","www.data.gouv.fr/37.59.183.93","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","www.data.gouv.fr/37.59.183.93","443","OK","offered","",""
"FS_ciphers","www.data.gouv.fr/37.59.183.93","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.data.gouv.fr/37.59.183.93","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.data.gouv.fr/37.59.183.93","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.data.gouv.fr/37.59.183.93","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.data.gouv.fr/37.59.183.93","443","INFO","yes","",""
"sessionresumption_ticket","www.data.gouv.fr/37.59.183.93","443","INFO","supported","",""
"sessionresumption_ID","www.data.gouv.fr/37.59.183.93","443","INFO","supported","",""
"TLS_timestamp","www.data.gouv.fr/37.59.183.93","443","INFO","random","",""
"certificate_compression","www.data.gouv.fr/37.59.183.93","443","INFO","none","",""
"clientAuth","www.data.gouv.fr/37.59.183.93","443","INFO","none","",""
"cert_numbers","www.data.gouv.fr/37.59.183.93","443","INFO","1","",""
"cert_signatureAlgorithm","www.data.gouv.fr/37.59.183.93","443","OK","SHA256 with RSA","",""
"cert_keySize","www.data.gouv.fr/37.59.183.93","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.data.gouv.fr/37.59.183.93","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.data.gouv.fr/37.59.183.93","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.data.gouv.fr/37.59.183.93","443","INFO","594F501AA6E6E980FF4F1D22E5C22B5E","",""
"cert_serialNumberLen","www.data.gouv.fr/37.59.183.93","443","INFO","16","",""
"cert_fingerprintSHA1","www.data.gouv.fr/37.59.183.93","443","INFO","798E3CA58289DA073DC101D1AB407C82D2E372D9","",""
"cert_fingerprintSHA256","www.data.gouv.fr/37.59.183.93","443","INFO","84F26A0BB2043A88391A08FB7F8F09E3927E4BED666715D0B71799AF1E270A8C","",""
