"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","HTTP","",""
"pre_128cipher","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.monstagedetroisieme.fr/46.252.181.103","443","OK","not offered","",""
"SSLv3","www.monstagedetroisieme.fr/46.252.181.103","443","OK","not offered","",""
"TLS1","www.monstagedetroisieme.fr/46.252.181.103","443","LOW","offered (deprecated)","",""
"TLS1_1","www.monstagedetroisieme.fr/46.252.181.103","443","LOW","offered (deprecated)","",""
"TLS1_2","www.monstagedetroisieme.fr/46.252.181.103","443","OK","offered","",""
"TLS1_3","www.monstagedetroisieme.fr/46.252.181.103","443","OK","offered with final","",""
"ALPN","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","not offered","",""
"cipherlist_NULL","www.monstagedetroisieme.fr/46.252.181.103","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.monstagedetroisieme.fr/46.252.181.103","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.monstagedetroisieme.fr/46.252.181.103","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.monstagedetroisieme.fr/46.252.181.103","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.monstagedetroisieme.fr/46.252.181.103","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.monstagedetroisieme.fr/46.252.181.103","443","OK","offered","",""
"cipherlist_STRONG","www.monstagedetroisieme.fr/46.252.181.103","443","OK","offered","",""
"cipher_order","www.monstagedetroisieme.fr/46.252.181.103","443","OK","server","",""
"protocol_negotiated","www.monstagedetroisieme.fr/46.252.181.103","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","www.monstagedetroisieme.fr/46.252.181.103","443","OK","TLS_AES_256_GCM_SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_1","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_2","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","www.monstagedetroisieme.fr/46.252.181.103","443","OK","offered","",""
"FS_ciphers","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.monstagedetroisieme.fr/46.252.181.103","443","OK","prime256v1","",""
"TLS_extensions","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'max fragment length/#1' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","yes","",""
"sessionresumption_ticket","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","not supported","",""
"sessionresumption_ID","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","not supported","",""
"TLS_timestamp","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","random","",""
"clientAuth","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","none","",""
"cert_numbers","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","1","",""
"cert_signatureAlgorithm","www.monstagedetroisieme.fr/46.252.181.103","443","OK","SHA256 with RSA","",""
"cert_keySize","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","03AF4C7F359D332EB20E9E7007900DFA6FEB","",""
"cert_fingerprintSHA1","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","787322C7F424938AF7A1571AAD976DF394AB6D73","",""
"cert_fingerprintSHA256","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","210078F9B3B375070732B9B671EAB79C1B2DC72B25F7C0FECD63B1F6CE267CAC","",""
"cert","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","-----BEGIN CERTIFICATE----- MIIFPDCCBCSgAwIBAgISA69MfzWdMy6yDp5wB5AN+m/rMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMTA0MDQwMDMwMDdaFw0yMTA3MDMwMDMwMDdaMCUxIzAhBgNVBAMT Gnd3dy5tb25zdGFnZWRldHJvaXNpZW1lLmZyMIIBIjANBgkqhkiG9w0BAQEFAAOC AQ8AMIIBCgKCAQEAglE4rZXIA8ETduuACYckprmx+6i6WQwXEo0qeXNTvCW4vyb8 cyYHtMeT+K2LmfF7vbXvY37btz/8RwLbH8aSkRqsV7HHFoewHIrfvT78a48EXTkC HIhmZooWJWQjGavCA79dMS6DUdN76R+WYUVZDuYQgwaDBxzPcEX8MQaAJC+IQ916 90TvR4s52DliyVECl/f3SFYTij31ej4bDo1TSR52Js61PxPVVPK1RamkSJS8MbI4 a3KB7HYALOWZPJwGydFGdlf3WxSydkgp6GZcEg10p6LCgDIrMde4xJE+J7NIcEDl /dKfVzj8IkBoFl8pyKFUnR/JhWlHTlAer/nI6wIDAQABo4ICVzCCAlMwDgYDVR0P AQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMB Af8EAjAAMB0GA1UdDgQWBBTWSVBrwdvT1+ZBJc4RrYN2DChdijAfBgNVHSMEGDAW gBQULrMXt1hWy65QCUDmH6+dixTCxjBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUH MAGGFWh0dHA6Ly9yMy5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL3Iz LmkubGVuY3Iub3JnLzAlBgNVHREEHjAcghp3d3cubW9uc3RhZ2VkZXRyb2lzaWVt ZS5mcjBMBgNVHSAERTBDMAgGBmeBDAECATA3BgsrBgEEAYLfEwEBATAoMCYGCCsG AQUFBwIBFhpodHRwOi8vY3BzLmxldHNlbmNyeXB0Lm9yZzCCAQYGCisGAQQB1nkC BAIEgfcEgfQA8gB3AJQgvB6O1Y1siHMfgosiLA3R2k1ebE+UPWHbTi9YTaLCAAAB eJqAXjIAAAQDAEgwRgIhAKF2igyDyBkykokQxHqj2hTOl2XW4WcYvkXpa/sdxOZI AiEAjrTGU6aHqquEdKAzQSWjgGjsiIahB8kq5QiqzJ11avMAdwD2XJQv0XcwIhRU GAgwlFaO400TGTO/3wwvIAvMTvFk4wAAAXiagF7NAAAEAwBIMEYCIQC6FA4qXCrr MmjQPqzAi9w21F7qeg4tK5HyMxBWF4YpZwIhAMkf7UrhFsLFM4NgIJR171HcfA/Q 1uKNAFkyug19nwxwMA0GCSqGSIb3DQEBCwUAA4IBAQCLdSeBZt+xJlXcOzHRK6Ml mnd+Ln2hFjerLMaCYAt43xZM8q+fSx4XVnBbsKYwVMoQogjIatQROa0PVB/+CwFI eutW0FOhad8wTlC7QRPXJJHnOyiAcKDMy/us0KxdJ8mB7aj6KUccQnUgxVMlWlSY 0SAtT7tFSTwD9+KxcxuTSOqpCejTyLZHu14h9mz9AXRfYJWaFn1ePE1yAf9t2qPA hXNc8bRzZLqPBXIcdwtk+I3SJVDObIanhQyUzSbsmDEy3d8VpiK+OlmQBRGSeY2u c8V0ypr1VSaHeFkgCO5O5Mmtya/6t4TxQNhQZr1zgBAuERQOLoIR0rm/pXvIb3vJ -----END CERTIFICATE-----","",""
"cert_commonName","www.monstagedetroisieme.fr/46.252.181.103","443","OK","www.monstagedetroisieme.fr","",""
"cert_commonName_wo_SNI","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","lolcatho.st","",""
"cert_subjectAltName","www.monstagedetroisieme.fr/46.252.181.103","443","INFO","www.monstagedetroisieme.fr","",""
