"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.snu.gouv.fr/185.75.143.93","443","INFO","HTTP","",""
"pre_128cipher","www.snu.gouv.fr/185.75.143.93","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.snu.gouv.fr/185.75.143.93","443","OK","not offered","",""
"SSLv3","www.snu.gouv.fr/185.75.143.93","443","OK","not offered","",""
"TLS1","www.snu.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_1","www.snu.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_2","www.snu.gouv.fr/185.75.143.93","443","OK","offered","",""
"TLS1_3","www.snu.gouv.fr/185.75.143.93","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","www.snu.gouv.fr/185.75.143.93","443","OK","h2","",""
"ALPN","www.snu.gouv.fr/185.75.143.93","443","INFO","http/1.1","",""
"cipherlist_NULL","www.snu.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.snu.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.snu.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.snu.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.snu.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.snu.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","www.snu.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"cipherlist_STRONG","www.snu.gouv.fr/185.75.143.93","443","OK","offered","",""
"cipher-tls1_2_xc030","www.snu.gouv.fr/185.75.143.93","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","www.snu.gouv.fr/185.75.143.93","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.snu.gouv.fr/185.75.143.93","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","www.snu.gouv.fr/185.75.143.93","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.snu.gouv.fr/185.75.143.93","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.snu.gouv.fr/185.75.143.93","443","HIGH","NOT a cipher order configured","",""
"protocol_negotiated","www.snu.gouv.fr/185.75.143.93","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.snu.gouv.fr/185.75.143.93","443","OK","DHE-RSA-AES128-GCM-SHA256, 2048 bit DH  (limited sense as client will pick)","",""
"FS","www.snu.gouv.fr/185.75.143.93","443","OK","offered","",""
"FS_ciphers","www.snu.gouv.fr/185.75.143.93","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.snu.gouv.fr/185.75.143.93","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.snu.gouv.fr/185.75.143.93","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'heartbeat/#15' 'next protocol/#13172' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.snu.gouv.fr/185.75.143.93","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.snu.gouv.fr/185.75.143.93","443","INFO","yes","",""
"sessionresumption_ticket","www.snu.gouv.fr/185.75.143.93","443","INFO","not supported","",""
"sessionresumption_ID","www.snu.gouv.fr/185.75.143.93","443","INFO","supported","",""
"scanProblem","www.snu.gouv.fr/185.75.143.93","443","FATAL","repeated TCP connect problems, giving up","",""
