"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","HTTP","",""
"pre_128cipher","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","No 128 cipher limit bug","",""
"SSLv2","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","OK","not offered","",""
"SSLv3","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","OK","not offered","",""
"TLS1","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","not offered","",""
"TLS1_1","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","not offered","",""
"TLS1_2","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","OK","offered","",""
"TLS1_3","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","OK","h2","",""
"ALPN","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","http/1.1","",""
"cipherlist_NULL","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","OK","not offered","","CWE-327"
"cipherlist_LOW","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","OK","offered","",""
"cipherlist_STRONG","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","OK","offered","",""
"cipher_order","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","OK","server","",""
"protocol_negotiated","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","OK","offered","",""
"FS_ciphers","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","yes","",""
"sessionresumption_ticket","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","not supported","",""
"sessionresumption_ID","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","supported","",""
"TLS_timestamp","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","random","",""
"cert_compression","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","N/A","",""
"clientAuth","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","none","",""
"cert_numbers","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","1","",""
"cert_signatureAlgorithm","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","OK","SHA256 with RSA","",""
"cert_keySize","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","049B71622C37B194D31B9C059B6D41E4E0CF","",""
"cert_serialNumberLen","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","18","",""
"cert_fingerprintSHA1","annuaire-entreprises.data.gouv.fr/149.202.185.250","443","INFO","7D1D9F13B7D82A9C7429AD63D1068D672BF190DF","",""
