"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","aplus.beta.gouv.fr/40.79.130.129","443","INFO","HTTP","",""
"pre_128cipher","aplus.beta.gouv.fr/40.79.130.129","443","INFO","No 128 cipher limit bug","",""
"SSLv2","aplus.beta.gouv.fr/40.79.130.129","443","OK","not offered","",""
"SSLv3","aplus.beta.gouv.fr/40.79.130.129","443","OK","not offered","",""
"TLS1","aplus.beta.gouv.fr/40.79.130.129","443","INFO","not offered","",""
"TLS1_1","aplus.beta.gouv.fr/40.79.130.129","443","INFO","not offered","",""
"TLS1_2","aplus.beta.gouv.fr/40.79.130.129","443","OK","offered","",""
"TLS1_3","aplus.beta.gouv.fr/40.79.130.129","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","aplus.beta.gouv.fr/40.79.130.129","443","INFO","not offered","",""
"cipherlist_NULL","aplus.beta.gouv.fr/40.79.130.129","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","aplus.beta.gouv.fr/40.79.130.129","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","aplus.beta.gouv.fr/40.79.130.129","443","OK","not offered","","CWE-327"
"cipherlist_LOW","aplus.beta.gouv.fr/40.79.130.129","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","aplus.beta.gouv.fr/40.79.130.129","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","aplus.beta.gouv.fr/40.79.130.129","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","aplus.beta.gouv.fr/40.79.130.129","443","OK","offered","",""
"cipherlist_STRONG","aplus.beta.gouv.fr/40.79.130.129","443","OK","offered","",""
"cipher_order","aplus.beta.gouv.fr/40.79.130.129","443","OK","server","",""
"protocol_negotiated","aplus.beta.gouv.fr/40.79.130.129","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","aplus.beta.gouv.fr/40.79.130.129","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","aplus.beta.gouv.fr/40.79.130.129","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","aplus.beta.gouv.fr/40.79.130.129","443","OK","offered","",""
"FS_ciphers","aplus.beta.gouv.fr/40.79.130.129","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","aplus.beta.gouv.fr/40.79.130.129","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","aplus.beta.gouv.fr/40.79.130.129","443","INFO","'renegotiation info/#65281' 'server name/#0' 'extended master secret/#23'","",""
"TLS_session_ticket","aplus.beta.gouv.fr/40.79.130.129","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","aplus.beta.gouv.fr/40.79.130.129","443","INFO","yes","",""
"sessionresumption_ticket","aplus.beta.gouv.fr/40.79.130.129","443","INFO","not supported","",""
"sessionresumption_ID","aplus.beta.gouv.fr/40.79.130.129","443","INFO","not supported","",""
"TLS_timestamp","aplus.beta.gouv.fr/40.79.130.129","443","INFO","off by -3 seconds from your localtime","",""
"clientAuth","aplus.beta.gouv.fr/40.79.130.129","443","INFO","none","",""
"cert_numbers","aplus.beta.gouv.fr/40.79.130.129","443","INFO","1","",""
"cert_signatureAlgorithm","aplus.beta.gouv.fr/40.79.130.129","443","OK","SHA256 with RSA","",""
"cert_keySize","aplus.beta.gouv.fr/40.79.130.129","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","aplus.beta.gouv.fr/40.79.130.129","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","aplus.beta.gouv.fr/40.79.130.129","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","aplus.beta.gouv.fr/40.79.130.129","443","INFO","67356690AF5D84CB67B4F46D827366F3","",""
"cert_fingerprintSHA1","aplus.beta.gouv.fr/40.79.130.129","443","INFO","6798C7C6185AAA7EA15719730C5DF662E90A7B8A","",""
"cert_fingerprintSHA256","aplus.beta.gouv.fr/40.79.130.129","443","INFO","3978CA9530F2380C0E3BCF38BFFECAC1FA469019AB0DECC797B0D2B7A99C5B37","",""
"cert","aplus.beta.gouv.fr/40.79.130.129","443","INFO","-----BEGIN CERTIFICATE----- MIIF7DCCBNSgAwIBAgIQZzVmkK9dhMtntPRtgnNm8zANBgkqhkiG9w0BAQsFADBf MQswCQYDVQQGEwJGUjEOMAwGA1UECBMFUGFyaXMxDjAMBgNVBAcTBVBhcmlzMQ4w DAYDVQQKEwVHYW5kaTEgMB4GA1UEAxMXR2FuZGkgU3RhbmRhcmQgU1NMIENBIDIw HhcNMjAxMTE2MDAwMDAwWhcNMjExMTE3MjM1OTU5WjAdMRswGQYDVQQDExJhcGx1 cy5iZXRhLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDm /pEXFAizskjmEsAe8uJVVRJxK/5PFNyKoqNuJ4pPZOSHVuioSyeMHZIlnjKHi41J oSWosDVmmioDgYbEBlh/yAS/h2e8ae1yxbcG7c12NQKd7A3cE+7czZx6oN38O0J3 H1yAnDF6xtziTsjztS6c5pil5soAqx4tlASGiVPoZs5AtBjpTORSsy+AGUh3uGYC uXOemkn1Kt2xagUhSfO6qgjIHJKelONzXjsDgQ93IWTyjoTWf9ZwuEKnMmdHgfqb i2WoCwnQ83fHU67tu+i7tFa+8BbTRyxuVQQb29LFuqugst486Hd18+n3nHQJwzhg WrsCmwr/6Q6wtx7mcamfAgMBAAGjggLkMIIC4DAfBgNVHSMEGDAWgBSzkKfYya9O zWE8n3ytXX9B/Wkw6jAdBgNVHQ4EFgQUO1sUX1qsUjE2f8MDj33EbfFaqgQwDgYD VR0PAQH/BAQDAgWgMAwGA1UdEwEB/wQCMAAwHQYDVR0lBBYwFAYIKwYBBQUHAwEG CCsGAQUFBwMCMEsGA1UdIAREMEIwNgYLKwYBBAGyMQECAhowJzAlBggrBgEFBQcC ARYZaHR0cHM6Ly9jcHMudXNlcnRydXN0LmNvbTAIBgZngQwBAgEwQQYDVR0fBDow ODA2oDSgMoYwaHR0cDovL2NybC51c2VydHJ1c3QuY29tL0dhbmRpU3RhbmRhcmRT U0xDQTIuY3JsMHMGCCsGAQUFBwEBBGcwZTA8BggrBgEFBQcwAoYwaHR0cDovL2Ny dC51c2VydHJ1c3QuY29tL0dhbmRpU3RhbmRhcmRTU0xDQTIuY3J0MCUGCCsGAQUF BzABhhlodHRwOi8vb2NzcC51c2VydHJ1c3QuY29tMIIBBAYKKwYBBAHWeQIEAgSB 9QSB8gDwAHUAfT7y+I//iFVoJMLAyp5SiXkrxQ54CX8uapdomX4i8NcAAAF10TCs zgAABAMARjBEAiBZnw7vGYJmoI42Z+1npDuWGjeZZXcRLBeqhlm7xWDjhQIgY5Jh i/HdAadjjJVEzL7q1cTmM2YR8vyfvrFG5WfZoMgAdwCUILwejtWNbIhzH4KLIiwN 0dpNXmxPlD1h204vWE2iwgAAAXXRMK0YAAAEAwBIMEYCIQC0UnQhmtYtidw4ecTn mqeDYRtNXAknEhP/r3mt7rZiyQIhAIp34y2WD442phlO3GT3LMfyNlcOVyNY3jWR u/K7K0IPMFQGA1UdEQRNMEuCEmFwbHVzLmJldGEuZ291di5mcoIXZGVtby1hcGx1 cy5iZXRhLmdvdXYuZnKCHHdvcmxkbGluZS1hcGx1cy5iZXRhLmdvdXYuZnIwDQYJ KoZIhvcNAQELBQADggEBAG98vprinwfh36ZVsASTpV1zGhPL8bq5ChB7U6BzTmne 8sf4ChIxIdkgbGTjwJcaUCB1j29cmRX5ZI/JCEioA8Zj2fJrNN8JJyYHCFjFjD0o +vFdPcvfNGHz8d7rvtu4eorY44jW0zIVJK28ltLj8+pqtkTJbDQp9Xgcfs1I6fnB MT6ez/aV5uAyMwHvmm6a0Ix/wpFOX+LCJeiszpKR3qlCP+pDdpXNZJOygIHJvL9+ kr4vvgIiYILjj41q0G3dO4V4a46fZaOOO8IVVPj+sFeWQa9jEuU1O7JFIrBPj3V3 GJ8D3kjN0czEmpOY98YI+bv4OXWmDQOaGJzG6jaCAQ8= -----END CERTIFICATE-----","",""
"cert_commonName","aplus.beta.gouv.fr/40.79.130.129","443","OK","aplus.beta.gouv.fr","",""
"cert_commonName_wo_SNI","aplus.beta.gouv.fr/40.79.130.129","443","INFO","*.azurewebsites.net","",""
"cert_subjectAltName","aplus.beta.gouv.fr/40.79.130.129","443","INFO","aplus.beta.gouv.fr demo-aplus.beta.gouv.fr worldline-aplus.beta.gouv.fr","",""
"cert_trust","aplus.beta.gouv.fr/40.79.130.129","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","aplus.beta.gouv.fr/40.79.130.129","443","OK","passed.","",""
"cert_certificatePolicies_EV","aplus.beta.gouv.fr/40.79.130.129","443","INFO","no","",""
"cert_expirationStatus","aplus.beta.gouv.fr/40.79.130.129","443","OK","187 >= 60 days","",""
"cert_notBefore","aplus.beta.gouv.fr/40.79.130.129","443","INFO","2020-11-16 00:00","",""
"cert_notAfter","aplus.beta.gouv.fr/40.79.130.129","443","OK","2021-11-17 23:59","",""
"cert_extlifeSpan","aplus.beta.gouv.fr/40.79.130.129","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","aplus.beta.gouv.fr/40.79.130.129","443","INFO","not present","",""
"cert_crlDistributionPoints","aplus.beta.gouv.fr/40.79.130.129","443","INFO","http://crl.usertrust.com/GandiStandardSSLCA2.crl","",""
