"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","aplus.beta.gouv.fr/141.94.167.220","443","INFO","HTTP","",""
"pre_128cipher","aplus.beta.gouv.fr/141.94.167.220","443","INFO","No 128 cipher limit bug","",""
"SSLv2","aplus.beta.gouv.fr/141.94.167.220","443","OK","not offered","",""
"SSLv3","aplus.beta.gouv.fr/141.94.167.220","443","OK","not offered","",""
"TLS1","aplus.beta.gouv.fr/141.94.167.220","443","INFO","not offered","",""
"TLS1_1","aplus.beta.gouv.fr/141.94.167.220","443","INFO","not offered","",""
"TLS1_2","aplus.beta.gouv.fr/141.94.167.220","443","OK","offered","",""
"TLS1_3","aplus.beta.gouv.fr/141.94.167.220","443","OK","offered with final","",""
"ALPN_HTTP2","aplus.beta.gouv.fr/141.94.167.220","443","OK","h2","",""
"ALPN","aplus.beta.gouv.fr/141.94.167.220","443","INFO","http/1.1","",""
"cipherlist_NULL","aplus.beta.gouv.fr/141.94.167.220","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","aplus.beta.gouv.fr/141.94.167.220","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","aplus.beta.gouv.fr/141.94.167.220","443","OK","not offered","","CWE-327"
"cipherlist_LOW","aplus.beta.gouv.fr/141.94.167.220","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","aplus.beta.gouv.fr/141.94.167.220","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","aplus.beta.gouv.fr/141.94.167.220","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","aplus.beta.gouv.fr/141.94.167.220","443","OK","offered","",""
"cipherlist_STRONG_FS","aplus.beta.gouv.fr/141.94.167.220","443","OK","offered","",""
"cipher_order-tls1_2","aplus.beta.gouv.fr/141.94.167.220","443","OK","server","",""
"cipherorder_TLSv1_2","aplus.beta.gouv.fr/141.94.167.220","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","aplus.beta.gouv.fr/141.94.167.220","443","OK","server","",""
"FS","aplus.beta.gouv.fr/141.94.167.220","443","OK","offered","",""
"FS_ciphers","aplus.beta.gouv.fr/141.94.167.220","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","aplus.beta.gouv.fr/141.94.167.220","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","aplus.beta.gouv.fr/141.94.167.220","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","aplus.beta.gouv.fr/141.94.167.220","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","aplus.beta.gouv.fr/141.94.167.220","443","INFO","yes","",""
"sessionresumption_ticket","aplus.beta.gouv.fr/141.94.167.220","443","INFO","not supported","",""
"sessionresumption_ID","aplus.beta.gouv.fr/141.94.167.220","443","INFO","supported","",""
"TLS_timestamp","aplus.beta.gouv.fr/141.94.167.220","443","INFO","random","",""
"certificate_compression","aplus.beta.gouv.fr/141.94.167.220","443","INFO","none","",""
"clientAuth","aplus.beta.gouv.fr/141.94.167.220","443","INFO","none","",""
