"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","app.pix.fr/148.253.96.24","443","INFO","HTTP","",""
"pre_128cipher","app.pix.fr/148.253.96.24","443","INFO","No 128 cipher limit bug","",""
"SSLv2","app.pix.fr/148.253.96.24","443","OK","not offered","",""
"SSLv3","app.pix.fr/148.253.96.24","443","OK","not offered","",""
"TLS1","app.pix.fr/148.253.96.24","443","INFO","not offered","",""
"TLS1_1","app.pix.fr/148.253.96.24","443","INFO","is not offered","",""
"TLS1_2","app.pix.fr/148.253.96.24","443","OK","offered","",""
"TLS1_3","app.pix.fr/148.253.96.24","443","OK","offered with final","",""
"ALPN_HTTP2","app.pix.fr/148.253.96.24","443","OK","h2","",""
"ALPN","app.pix.fr/148.253.96.24","443","INFO","http/1.1","",""
"cipherlist_NULL","app.pix.fr/148.253.96.24","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","app.pix.fr/148.253.96.24","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","app.pix.fr/148.253.96.24","443","OK","not offered","","CWE-327"
"cipherlist_LOW","app.pix.fr/148.253.96.24","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","app.pix.fr/148.253.96.24","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","app.pix.fr/148.253.96.24","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","app.pix.fr/148.253.96.24","443","INFO","not offered","",""
"cipherlist_STRONG","app.pix.fr/148.253.96.24","443","OK","offered","",""
"cipher_order","app.pix.fr/148.253.96.24","443","OK","server","",""
"protocol_negotiated","app.pix.fr/148.253.96.24","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","app.pix.fr/148.253.96.24","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","app.pix.fr/148.253.96.24","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","app.pix.fr/148.253.96.24","443","OK","offered","",""
"FS_ciphers","app.pix.fr/148.253.96.24","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","app.pix.fr/148.253.96.24","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","app.pix.fr/148.253.96.24","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","app.pix.fr/148.253.96.24","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","app.pix.fr/148.253.96.24","443","INFO","yes","",""
"sessionresumption_ticket","app.pix.fr/148.253.96.24","443","INFO","not supported","",""
"sessionresumption_ID","app.pix.fr/148.253.96.24","443","INFO","not supported","",""
"TLS_timestamp","app.pix.fr/148.253.96.24","443","INFO","random","",""
"clientAuth","app.pix.fr/148.253.96.24","443","INFO","none","",""
"cert_numbers","app.pix.fr/148.253.96.24","443","INFO","1","",""
"cert_signatureAlgorithm","app.pix.fr/148.253.96.24","443","OK","SHA256 with RSA","",""
"cert_keySize","app.pix.fr/148.253.96.24","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","app.pix.fr/148.253.96.24","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","app.pix.fr/148.253.96.24","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","app.pix.fr/148.253.96.24","443","INFO","04C842F47B8CE540405DC647A7708F5D302A","",""
"cert_fingerprintSHA1","app.pix.fr/148.253.96.24","443","INFO","7BA4EF89E31800FE6089AC37728C38E9A13FC219","",""
"cert_fingerprintSHA256","app.pix.fr/148.253.96.24","443","INFO","8EAB2248EBDBFB03D3DD6F51AD808295B69D7E84F8FBFD4142E6AEC2267AD096","",""
