"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","app.pix.fr/185.94.140.194","443","INFO","HTTP","",""
"pre_128cipher","app.pix.fr/185.94.140.194","443","INFO","No 128 cipher limit bug","",""
"SSLv2","app.pix.fr/185.94.140.194","443","OK","not offered","",""
"SSLv3","app.pix.fr/185.94.140.194","443","OK","not offered","",""
"TLS1","app.pix.fr/185.94.140.194","443","INFO","not offered","",""
"TLS1_1","app.pix.fr/185.94.140.194","443","INFO","not offered","",""
"TLS1_2","app.pix.fr/185.94.140.194","443","OK","offered","",""
"TLS1_3","app.pix.fr/185.94.140.194","443","OK","offered with final","",""
"ALPN_HTTP2","app.pix.fr/185.94.140.194","443","OK","h2","",""
"ALPN","app.pix.fr/185.94.140.194","443","INFO","http/1.1","",""
"cipherlist_NULL","app.pix.fr/185.94.140.194","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","app.pix.fr/185.94.140.194","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","app.pix.fr/185.94.140.194","443","OK","not offered","","CWE-327"
"cipherlist_LOW","app.pix.fr/185.94.140.194","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","app.pix.fr/185.94.140.194","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","app.pix.fr/185.94.140.194","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","app.pix.fr/185.94.140.194","443","INFO","not offered","",""
"cipherlist_STRONG","app.pix.fr/185.94.140.194","443","OK","offered","",""
"cipher_order","app.pix.fr/185.94.140.194","443","WARN","Could not determine server cipher order, no matching cipher in list found (pls report this): DHE-RSA-SEED-SHA:SEED-SHA:DES-CBC3-SHA:RC4-MD5:DES-CBC-SHA:RC4-SHA:AES128-SHA:AES128-SHA256:AES256-SHA:ECDHE-RSA-AES128-SHA:DHE-RSA-AES128-SHA:DHE-RSA-AES256-SHA:ECDH-RSA-DES-CBC3-SHA:ECDH-RSA-AES128-SHA:ECDH-RSA-AES256-SHA:ECDHE-RSA-AES256-GCM-SHA384:DHE-RSA-AES128-SHA256:DHE-RSA-AES256-GCM-SHA384:ECDHE-ECDSA-AES128-SHA256:ECDHE-RSA-AES128-GCM-SHA256:ECDHE-RSA-AES256-SHA384:ECDHE-RSA-AES256-SHA:DHE-DSS-AES256-GCM-SHA384:ECDHE-ECDSA-AES256-GCM-SHA384:ECDHE-ECDSA-AES128-GCM-SHA256:AES256-SHA256:ECDHE-RSA-DES-CBC3-SHA:ECDHE-RSA-AES128-SHA256:AES256-GCM-SHA384:AES128-GCM-SHA256:DHE-RSA-AES128-GCM-SHA256:DHE-RSA-AES256-SHA256:ADH-AES256-GCM-SHA384:AECDH-AES128-SHA:ECDHE-RSA-RC4-SHA:ECDHE-ECDSA-AES128-SHA","",""
"FS","app.pix.fr/185.94.140.194","443","OK","offered","",""
"FS_ciphers","app.pix.fr/185.94.140.194","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305-OLD","",""
"FS_ECDHE_curves","app.pix.fr/185.94.140.194","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","app.pix.fr/185.94.140.194","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","app.pix.fr/185.94.140.194","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","app.pix.fr/185.94.140.194","443","INFO","yes","",""
"sessionresumption_ticket","app.pix.fr/185.94.140.194","443","INFO","supported","",""
"sessionresumption_ID","app.pix.fr/185.94.140.194","443","INFO","not supported","",""
"TLS_timestamp","app.pix.fr/185.94.140.194","443","INFO","random","",""
"certificate_compression","app.pix.fr/185.94.140.194","443","INFO","","",""
"clientAuth","app.pix.fr/185.94.140.194","443","INFO","none","",""
"cert_numbers","app.pix.fr/185.94.140.194","443","INFO","1","",""
"cert_signatureAlgorithm","app.pix.fr/185.94.140.194","443","OK","SHA256 with RSA","",""
"cert_keySize","app.pix.fr/185.94.140.194","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","app.pix.fr/185.94.140.194","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","app.pix.fr/185.94.140.194","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","app.pix.fr/185.94.140.194","443","INFO","04457F1D453D1F3856E18363854F433CB1C0","",""
"cert_serialNumberLen","app.pix.fr/185.94.140.194","443","INFO","18","",""
"cert_fingerprintSHA1","app.pix.fr/185.94.140.194","443","INFO","C8A9A36CA24FAF1F4DBF60901A69C04EE6036B64","",""
"cert_fingerprintSHA256","app.pix.fr/185.94.140.194","443","INFO","D1BD6073159E578801AD91FF9F412704886E7B8D92DD6EF4E158B8AF06DB9114","",""
