"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","is not offered","",""
"TLS1_2","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","audioconf.numerique.gouv.fr/185.21.194.105","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipher_order","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","server","",""
"protocol_negotiated","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","offered","",""
"FS_ciphers","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","yes","",""
"sessionresumption_ticket","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"sessionresumption_ID","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"TLS_timestamp","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","random","",""
"clientAuth","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","none","",""
"cert_numbers","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","1","",""
"cert_signatureAlgorithm","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","SHA256 with RSA","",""
"cert_keySize","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","032995CE0BC7B7C9D991338C09D1FC54264A","",""
"cert_fingerprintSHA1","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","49A9FDF084F634F6BCB9F8C0AB66AD06213B00B2","",""
"cert_fingerprintSHA256","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","61A887F49258FA917700D94229D482E4D83CFF9FBB3C30737AA20DDEF4BA95B4","",""
"cert","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","-----BEGIN CERTIFICATE----- MIIFPTCCBCWgAwIBAgISAymVzgvHt8nZkTOMCdH8VCZKMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMTAyMjcxMzE2MTZaFw0yMTA1MjgxMzE2MTZaMCYxJDAiBgNVBAMT G2F1ZGlvY29uZi5udW1lcmlxdWUuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQAD ggEPADCCAQoCggEBAL5EkDbYaiuQvoi2R1X+PH78EnVRLsxFI4Ex4GTidhUGrie/ kLpW3sigwPFJ/VWOzBaHaPijCQSieY1tl18v8NVvJv7/0VHpz1qQKSdMRUzaqGop hh6jLuFcTgfzbulpvMnVl+wffSibiIQAvLMec+ubLjmAu0EDPagstVX+YWzDo9Cu knQEkuIBIXHF3FgwJOD+tpnwxofseeum99qGIKLrbkXBesTGIiIXcxsIFzyFsnKX yiu6ussNngw5H4oKdCdVTBMOhLWbi2U4Pb3AHyC3CUiUTH7MDUbgT3PcNSIQO0Rp 0djlfflIQ7UKfbQYS4jUKPXF2DASi4f7w2QQGdkCAwEAAaOCAlcwggJTMA4GA1Ud DwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0T AQH/BAIwADAdBgNVHQ4EFgQU4cUC+I04x6juBFqN7h3necBsbf0wHwYDVR0jBBgw FoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUF BzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9y My5pLmxlbmNyLm9yZy8wJgYDVR0RBB8wHYIbYXVkaW9jb25mLm51bWVyaXF1ZS5n b3V2LmZyMEwGA1UdIARFMEMwCAYGZ4EMAQIBMDcGCysGAQQBgt8TAQEBMCgwJgYI KwYBBQUHAgEWGmh0dHA6Ly9jcHMubGV0c2VuY3J5cHQub3JnMIIBBQYKKwYBBAHW eQIEAgSB9gSB8wDxAHcAb1N2rDHwMRnYmQCkURX/dxUcEdkCwQApBo2yCJo32RMA AAF349jdaQAABAMASDBGAiEAiq4Uw5q3IsrNiYewqhsjU06FLGwKS/yVAH6NrrIZ dM0CIQCO9al50nu68cM1YbTTmVDWNoPON9yu8wWDWDLfFZqtOwB2AH0+8viP/4hV aCTCwMqeUol5K8UOeAl/LmqXaJl+IvDXAAABd+PY3XgAAAQDAEcwRQIhAMNs477u l3Vnoj0hGqZJIGVSVWifDd1T12Bn5w1IcLLOAiArAe7KXbXiPeTLnuPgcpEIXMK7 9jVcCSbvdQWoU7HANTANBgkqhkiG9w0BAQsFAAOCAQEAHDk54kJCWeLF51pFuXHD OKbTXwolF8auESZbIKHyKfxAsqR7YoHVKeHf77mDCXR35tMUYdBMc0AIp3PWxhda JUCg0nFh47nTYIT4x4ev0/I3Ik/MwyEFu5Thj2kkNQe9AAOKv/cR7RonYntRWalJ zSDkiqyg7Q4GGV+8mhifcmcMghGxHb1NRQ0FtxYA2Ha8dBu/7JlWt1/s5XTpDFAw 0NUuwJl0rLd0LH2PE+c09PUzLUN9VzFbhvQ7zrK6LpxkwqoytqADHW/wn6WW/482 t2hwNk8em8XSO6V8y/c+SXlKkvVO050sJf5y+sOwAHyoTXNng+fIjbwbWUvuvu1Y BA== -----END CERTIFICATE-----","",""
"cert_commonName","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","audioconf.numerique.gouv.fr","",""
"cert_commonName_wo_SNI","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","*.osc-secnum-fr1.scalingo.io","",""
"cert_subjectAltName","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","audioconf.numerique.gouv.fr","",""
"cert_trust","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","passed.","",""
"cert_certificatePolicies_EV","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","no","",""
"cert_expirationStatus","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","30 >= 30 days","",""
"cert_notBefore","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","2021-02-27 13:16","",""
"cert_notAfter","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","2021-05-28 13:16","",""
"cert_extlifeSpan","audioconf.numerique.gouv.fr/185.21.194.105","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","audioconf.numerique.gouv.fr/185.21.194.105","443","INFO","not present","",""
