"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","blog.beta.gouv.fr/54.241.246.27","443","INFO","HTTP","",""
"pre_128cipher","blog.beta.gouv.fr/54.241.246.27","443","INFO","No 128 cipher limit bug","",""
"SSLv2","blog.beta.gouv.fr/54.241.246.27","443","OK","not offered","",""
"SSLv3","blog.beta.gouv.fr/54.241.246.27","443","OK","not offered","",""
"TLS1","blog.beta.gouv.fr/54.241.246.27","443","INFO","not offered","",""
"TLS1_1","blog.beta.gouv.fr/54.241.246.27","443","INFO","not offered","",""
"TLS1_2","blog.beta.gouv.fr/54.241.246.27","443","OK","offered","",""
"TLS1_3","blog.beta.gouv.fr/54.241.246.27","443","OK","offered with final","",""
"ALPN_HTTP2","blog.beta.gouv.fr/54.241.246.27","443","OK","h2","",""
"ALPN","blog.beta.gouv.fr/54.241.246.27","443","INFO","http/1.1","",""
"cipherlist_NULL","blog.beta.gouv.fr/54.241.246.27","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","blog.beta.gouv.fr/54.241.246.27","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","blog.beta.gouv.fr/54.241.246.27","443","OK","not offered","","CWE-327"
"cipherlist_LOW","blog.beta.gouv.fr/54.241.246.27","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","blog.beta.gouv.fr/54.241.246.27","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","blog.beta.gouv.fr/54.241.246.27","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","blog.beta.gouv.fr/54.241.246.27","443","INFO","not offered","",""
"cipherlist_STRONG","blog.beta.gouv.fr/54.241.246.27","443","OK","offered","",""
"cipher_order","blog.beta.gouv.fr/54.241.246.27","443","OK","server","",""
"protocol_negotiated","blog.beta.gouv.fr/54.241.246.27","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","blog.beta.gouv.fr/54.241.246.27","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","blog.beta.gouv.fr/54.241.246.27","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS","blog.beta.gouv.fr/54.241.246.27","443","OK","offered","",""
"FS_ciphers","blog.beta.gouv.fr/54.241.246.27","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","blog.beta.gouv.fr/54.241.246.27","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","blog.beta.gouv.fr/54.241.246.27","443","INFO","'server name/#0' 'renegotiation info/#65281' 'key share/#51' 'supported versions/#43' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","blog.beta.gouv.fr/54.241.246.27","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","blog.beta.gouv.fr/54.241.246.27","443","INFO","yes","",""
"sessionresumption_ticket","blog.beta.gouv.fr/54.241.246.27","443","INFO","not supported","",""
"sessionresumption_ID","blog.beta.gouv.fr/54.241.246.27","443","INFO","supported","",""
"TLS_timestamp","blog.beta.gouv.fr/54.241.246.27","443","INFO","random","",""
"clientAuth","blog.beta.gouv.fr/54.241.246.27","443","INFO","none","",""
"cert_numbers","blog.beta.gouv.fr/54.241.246.27","443","INFO","1","",""
"cert_signatureAlgorithm","blog.beta.gouv.fr/54.241.246.27","443","OK","SHA256 with RSA","",""
"cert_keySize","blog.beta.gouv.fr/54.241.246.27","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","blog.beta.gouv.fr/54.241.246.27","443","INFO","Digital Signature","",""
"cert_extKeyUsage","blog.beta.gouv.fr/54.241.246.27","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","blog.beta.gouv.fr/54.241.246.27","443","INFO","04A8A7184FC7F3D9B8D2AEE4AEFE897ED75E","",""
"cert_fingerprintSHA1","blog.beta.gouv.fr/54.241.246.27","443","INFO","63075DA9954A11057505C7AED16B2E6992B05D46","",""
"cert_fingerprintSHA256","blog.beta.gouv.fr/54.241.246.27","443","INFO","2AC52D9B8670F1F7C49DB14EF4F2FB5825047D3A3E3A8B43A170406309A63E9E","",""
"cert","blog.beta.gouv.fr/54.241.246.27","443","INFO","-----BEGIN CERTIFICATE----- MIIEXDCCA0SgAwIBAgISBKinGE/H89m40q7krv6JftdeMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMTA0MDkxMDAwMTNaFw0yMTA3MDgxMDAwMTNaMBwxGjAYBgNVBAMT EWJsb2cuYmV0YS5nb3V2LmZyMFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAEesmv SQMTmo0RYZu50cI5a6zwtHNPTzDsU+7tyneFoB7o9xU2Qv+lxeSZTLH9sX5QB/+F OWFkaRclsZgOkvjvCKOCAkswggJHMA4GA1UdDwEB/wQEAwIHgDAdBgNVHSUEFjAU BggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQU3kLQ YbbqEFxJYdu3fW6qKlO9HRUwHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsU wsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5j ci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wHAYDVR0R BBUwE4IRYmxvZy5iZXRhLmdvdXYuZnIwTAYDVR0gBEUwQzAIBgZngQwBAgEwNwYL KwYBBAGC3xMBAQEwKDAmBggrBgEFBQcCARYaaHR0cDovL2Nwcy5sZXRzZW5jcnlw dC5vcmcwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdQCUILwejtWNbIhzH4KLIiwN 0dpNXmxPlD1h204vWE2iwgAAAXi2Sh57AAAEAwBGMEQCIGwiQBMDeM/c4dMm40mO hPYo4irxpPuoANzHAOGDwqHXAiAXL/PcOg+TCVrWiGDEtkEtLQQKFlyDwQ/RVOdh 9iY5KgB2APZclC/RdzAiFFQYCDCUVo7jTRMZM7/fDC8gC8xO8WTjAAABeLZKHncA AAQDAEcwRQIhAPSaeMn9EuCI7klSBYzDcZRBqFegdsGHW5nSurwGZd+/AiB9GK2q P5VxEcPPZ2yUbk1HGcVqrutcWzFKQpclrjuiBTANBgkqhkiG9w0BAQsFAAOCAQEA MHrgA8qTZc9aUjN1OiAOYH6kx1Cs4t50roUegkRReoPSlxnBUdvQn0ZqWbOSIYyo Gb7qrs2ASB7SR1jjmP9dexNxyhSqqKnZMatgt7ZO5ZBnXbtbjbAxihH9UnfDEFmw dJWA1GyUFtO28rsFQbGxf4lCEcy+vmfX6iyyhu7NRmx8AkQSRM8VWBeqfijlpMXq 0KWtzOKHy2Jk2jXTMWhtYwmmoHBsnEXLm7gVFLKTmQKGNwS7tExZgWHkUpUvkuqA 0WkSibh9DHZxqo6rJTgWQ0QGJRygRmiqyidEuERlGrOtUwAZv9WPjhUu5pzV7CmQ xajDYODwgxDWX9XmzWquoQ== -----END CERTIFICATE-----","",""
"cert_commonName","blog.beta.gouv.fr/54.241.246.27","443","OK","blog.beta.gouv.fr","",""
"cert_commonName_wo_SNI","blog.beta.gouv.fr/54.241.246.27","443","INFO","*.netlify.app","",""
