"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cassiopee.fabnum.fr/195.154.70.159","443","INFO","HTTP","",""
"pre_128cipher","cassiopee.fabnum.fr/195.154.70.159","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cassiopee.fabnum.fr/195.154.70.159","443","OK","not offered","",""
"SSLv3","cassiopee.fabnum.fr/195.154.70.159","443","OK","not offered","",""
"TLS1","cassiopee.fabnum.fr/195.154.70.159","443","INFO","not offered","",""
"TLS1_1","cassiopee.fabnum.fr/195.154.70.159","443","INFO","not offered","",""
"TLS1_2","cassiopee.fabnum.fr/195.154.70.159","443","OK","offered","",""
"TLS1_3","cassiopee.fabnum.fr/195.154.70.159","443","OK","offered with final","",""
"ALPN_HTTP2","cassiopee.fabnum.fr/195.154.70.159","443","OK","h2","",""
"ALPN","cassiopee.fabnum.fr/195.154.70.159","443","INFO","http/1.1","",""
"cipherlist_NULL","cassiopee.fabnum.fr/195.154.70.159","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cassiopee.fabnum.fr/195.154.70.159","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cassiopee.fabnum.fr/195.154.70.159","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cassiopee.fabnum.fr/195.154.70.159","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cassiopee.fabnum.fr/195.154.70.159","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cassiopee.fabnum.fr/195.154.70.159","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","cassiopee.fabnum.fr/195.154.70.159","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cassiopee.fabnum.fr/195.154.70.159","443","OK","offered","",""
"cipher_order-tls1_2","cassiopee.fabnum.fr/195.154.70.159","443","OK","server","",""
"cipherorder_TLSv1_2","cassiopee.fabnum.fr/195.154.70.159","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","cassiopee.fabnum.fr/195.154.70.159","443","OK","server","",""
"FS","cassiopee.fabnum.fr/195.154.70.159","443","OK","offered","",""
"FS_ciphers","cassiopee.fabnum.fr/195.154.70.159","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","cassiopee.fabnum.fr/195.154.70.159","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","cassiopee.fabnum.fr/195.154.70.159","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","cassiopee.fabnum.fr/195.154.70.159","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","cassiopee.fabnum.fr/195.154.70.159","443","INFO","yes","",""
"sessionresumption_ticket","cassiopee.fabnum.fr/195.154.70.159","443","INFO","not supported","",""
"sessionresumption_ID","cassiopee.fabnum.fr/195.154.70.159","443","INFO","supported","",""
"TLS_timestamp","cassiopee.fabnum.fr/195.154.70.159","443","INFO","random","",""
"certificate_compression","cassiopee.fabnum.fr/195.154.70.159","443","INFO","none","",""
"clientAuth","cassiopee.fabnum.fr/195.154.70.159","443","INFO","none","",""
"cert_numbers","cassiopee.fabnum.fr/195.154.70.159","443","INFO","1","",""
"cert_signatureAlgorithm","cassiopee.fabnum.fr/195.154.70.159","443","OK","SHA256 with RSA","",""
"cert_keySize","cassiopee.fabnum.fr/195.154.70.159","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","cassiopee.fabnum.fr/195.154.70.159","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","cassiopee.fabnum.fr/195.154.70.159","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","cassiopee.fabnum.fr/195.154.70.159","443","INFO","04BF4C14BD26AD3BBE137FCDE2D44F0F85D4","",""
"cert_serialNumberLen","cassiopee.fabnum.fr/195.154.70.159","443","INFO","18","",""
"cert_fingerprintSHA1","cassiopee.fabnum.fr/195.154.70.159","443","INFO","C708D72FC3379F8C5AD336413D739773C28C849C","",""
"cert_fingerprintSHA256","cassiopee.fabnum.fr/195.154.70.159","443","INFO","95FEB7D414E3CA2F91158A51E9460A844683152AFC0A2DC6175EBFADA270EA59","",""
