"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","HTTP","",""
"pre_128cipher","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","No 128 cipher limit bug","",""
"SSLv2","competencevalidee.pole-emploi.fr/51.68.90.157","443","OK","not offered","",""
"SSLv3","competencevalidee.pole-emploi.fr/51.68.90.157","443","OK","not offered","",""
"TLS1","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","not offered","",""
"TLS1_1","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","not offered","",""
"TLS1_2","competencevalidee.pole-emploi.fr/51.68.90.157","443","OK","offered","",""
"TLS1_3","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","http/1.1","",""
"cipherlist_NULL","competencevalidee.pole-emploi.fr/51.68.90.157","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","competencevalidee.pole-emploi.fr/51.68.90.157","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","competencevalidee.pole-emploi.fr/51.68.90.157","443","OK","not offered","","CWE-327"
"cipherlist_LOW","competencevalidee.pole-emploi.fr/51.68.90.157","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","competencevalidee.pole-emploi.fr/51.68.90.157","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","competencevalidee.pole-emploi.fr/51.68.90.157","443","OK","offered","",""
"cipherlist_STRONG_FS","competencevalidee.pole-emploi.fr/51.68.90.157","443","OK","offered","",""
"cipher_order-tls1_2","competencevalidee.pole-emploi.fr/51.68.90.157","443","OK","server","",""
"cipherorder_TLSv1_2","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","competencevalidee.pole-emploi.fr/51.68.90.157","443","OK","server","",""
"FS","competencevalidee.pole-emploi.fr/51.68.90.157","443","OK","offered","",""
"FS_ciphers","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","competencevalidee.pole-emploi.fr/51.68.90.157","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","valid for 86400 seconds only (<daily)","",""
"SSL_sessionID_support","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","yes","",""
"sessionresumption_ticket","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","supported","",""
"sessionresumption_ID","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","supported","",""
"TLS_timestamp","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","random","",""
"cert_compression","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","N/A","",""
"clientAuth","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","none","",""
"cert_numbers","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","1","",""
"cert_signatureAlgorithm","competencevalidee.pole-emploi.fr/51.68.90.157","443","OK","SHA256 with RSA","",""
"cert_keySize","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","34FF37465BB18BB91F0CF1EE0FC9011C","",""
"cert_serialNumberLen","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","16","",""
"cert_fingerprintSHA1","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","CA356E44A79BF229DAB90B33635E384C75FB4074","",""
"cert_fingerprintSHA256","competencevalidee.pole-emploi.fr/51.68.90.157","443","INFO","2FC9CD3B5CF5A84BCD365A13276DDB4685C954EDD0ECDFE725F906308DF2F52B","",""
