"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","conseil-refondation.fr/104.21.7.98","443","INFO","HTTP","",""
"pre_128cipher","conseil-refondation.fr/104.21.7.98","443","INFO","No 128 cipher limit bug","",""
"SSLv2","conseil-refondation.fr/104.21.7.98","443","OK","not offered","",""
"SSLv3","conseil-refondation.fr/104.21.7.98","443","OK","not offered","",""
"TLS1","conseil-refondation.fr/104.21.7.98","443","LOW","offered (deprecated)","",""
"TLS1_1","conseil-refondation.fr/104.21.7.98","443","LOW","offered (deprecated)","",""
"TLS1_2","conseil-refondation.fr/104.21.7.98","443","OK","offered","",""
"TLS1_3","conseil-refondation.fr/104.21.7.98","443","OK","offered with final","",""
"ALPN_HTTP2","conseil-refondation.fr/104.21.7.98","443","OK","h2","",""
"ALPN","conseil-refondation.fr/104.21.7.98","443","INFO","http/1.1","",""
"cipherlist_NULL","conseil-refondation.fr/104.21.7.98","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","conseil-refondation.fr/104.21.7.98","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","conseil-refondation.fr/104.21.7.98","443","OK","not offered","","CWE-327"
"cipherlist_LOW","conseil-refondation.fr/104.21.7.98","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","conseil-refondation.fr/104.21.7.98","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","conseil-refondation.fr/104.21.7.98","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","conseil-refondation.fr/104.21.7.98","443","INFO","not offered","",""
"cipherlist_STRONG","conseil-refondation.fr/104.21.7.98","443","OK","offered","",""
"cipher_order-tls1","conseil-refondation.fr/104.21.7.98","443","OK","server","",""
"cipherorder_TLSv1","conseil-refondation.fr/104.21.7.98","443","INFO","ECDHE-ECDSA-AES128-SHA","",""
"cipher_order-tls1_1","conseil-refondation.fr/104.21.7.98","443","OK","server","",""
"cipherorder_TLSv1_1","conseil-refondation.fr/104.21.7.98","443","INFO","ECDHE-ECDSA-AES128-SHA","",""
"cipher_order-tls1_2","conseil-refondation.fr/104.21.7.98","443","OK","server","",""
"cipherorder_TLSv1_2","conseil-refondation.fr/104.21.7.98","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","conseil-refondation.fr/104.21.7.98","443","OK","server -- TLS 1.3 client determined","",""
"FS","conseil-refondation.fr/104.21.7.98","443","OK","offered","",""
"FS_ciphers","conseil-refondation.fr/104.21.7.98","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305-OLD","",""
"FS_ECDHE_curves","conseil-refondation.fr/104.21.7.98","443","OK","prime256v1","",""
"TLS_extensions","conseil-refondation.fr/104.21.7.98","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16' 'compress_certificate/#27'","",""
"TLS_session_ticket","conseil-refondation.fr/104.21.7.98","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","conseil-refondation.fr/104.21.7.98","443","INFO","yes","",""
"sessionresumption_ticket","conseil-refondation.fr/104.21.7.98","443","INFO","supported","",""
"sessionresumption_ID","conseil-refondation.fr/104.21.7.98","443","INFO","not supported","",""
"TLS_timestamp","conseil-refondation.fr/104.21.7.98","443","INFO","off by 0 seconds from your localtime","",""
"certificate_compression","conseil-refondation.fr/104.21.7.98","443","INFO","0002/Brotli","",""
"clientAuth","conseil-refondation.fr/104.21.7.98","443","INFO","none","",""
"cert_numbers","conseil-refondation.fr/104.21.7.98","443","INFO","1","",""
"cert_signatureAlgorithm","conseil-refondation.fr/104.21.7.98","443","OK","ECDSA with SHA384","",""
"cert_keySize","conseil-refondation.fr/104.21.7.98","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","conseil-refondation.fr/104.21.7.98","443","INFO","Digital Signature","",""
