"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","HTTP","",""
"pre_128cipher","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","No 128 cipher limit bug","",""
"SSLv2","covoiturage.beta.gouv.fr/185.31.40.11","443","OK","not offered","",""
"SSLv3","covoiturage.beta.gouv.fr/185.31.40.11","443","OK","not offered","",""
"TLS1","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","not offered","",""
"TLS1_1","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","not offered","",""
"TLS1_2","covoiturage.beta.gouv.fr/185.31.40.11","443","OK","offered","",""
"TLS1_3","covoiturage.beta.gouv.fr/185.31.40.11","443","OK","offered with final","",""
"ALPN","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","not offered","",""
"cipherlist_NULL","covoiturage.beta.gouv.fr/185.31.40.11","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","covoiturage.beta.gouv.fr/185.31.40.11","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","covoiturage.beta.gouv.fr/185.31.40.11","443","OK","not offered","","CWE-327"
"cipherlist_LOW","covoiturage.beta.gouv.fr/185.31.40.11","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","not offered","",""
"cipherlist_STRONG","covoiturage.beta.gouv.fr/185.31.40.11","443","OK","offered","",""
"cipher_order","covoiturage.beta.gouv.fr/185.31.40.11","443","HIGH","NOT a cipher order configured","",""
"protocol_negotiated","covoiturage.beta.gouv.fr/185.31.40.11","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","covoiturage.beta.gouv.fr/185.31.40.11","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)  (limited sense as client will pick)","",""
"cipher-tls1_2_xc030","covoiturage.beta.gouv.fr/185.31.40.11","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","covoiturage.beta.gouv.fr/185.31.40.11","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","covoiturage.beta.gouv.fr/185.31.40.11","443","OK","offered","",""
"FS_ciphers","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","covoiturage.beta.gouv.fr/185.31.40.11","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","yes","",""
"sessionresumption_ticket","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","supported","",""
"sessionresumption_ID","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","not supported","",""
"TLS_timestamp","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","random","",""
"clientAuth","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","none","",""
"cert_numbers","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","1","",""
"cert_signatureAlgorithm","covoiturage.beta.gouv.fr/185.31.40.11","443","OK","SHA256 with RSA","",""
"cert_keySize","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","035B4371C048635F5AF7B380A50482E4514A","",""
"cert_fingerprintSHA1","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","CB25E0839C7F2DBB63D2ADD8562427689F4B6D3C","",""
"cert_fingerprintSHA256","covoiturage.beta.gouv.fr/185.31.40.11","443","INFO","5F36D1F96D62CC9A3CD99D9BDB790CF3F1A4B45F07CF28C358E5B08FA6FCFF38","",""
