"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","dossierfacile.fr/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","dossierfacile.fr/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","dossierfacile.fr/5.104.101.30","443","OK","not offered","",""
"SSLv3","dossierfacile.fr/5.104.101.30","443","OK","not offered","",""
"TLS1","dossierfacile.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","dossierfacile.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","dossierfacile.fr/5.104.101.30","443","OK","offered","",""
"TLS1_3","dossierfacile.fr/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","dossierfacile.fr/5.104.101.30","443","OK","h2","",""
"ALPN","dossierfacile.fr/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","dossierfacile.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","dossierfacile.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","dossierfacile.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","dossierfacile.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","dossierfacile.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","dossierfacile.fr/5.104.101.30","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","dossierfacile.fr/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG","dossierfacile.fr/5.104.101.30","443","OK","offered","",""
"cipherorder_TLSv1_2","dossierfacile.fr/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","dossierfacile.fr/5.104.101.30","443","OK","server","",""
"protocol_negotiated","dossierfacile.fr/5.104.101.30","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","dossierfacile.fr/5.104.101.30","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","dossierfacile.fr/5.104.101.30","443","OK","offered","",""
"FS_ciphers","dossierfacile.fr/5.104.101.30","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","dossierfacile.fr/5.104.101.30","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","dossierfacile.fr/5.104.101.30","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","dossierfacile.fr/5.104.101.30","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","dossierfacile.fr/5.104.101.30","443","INFO","yes","",""
"sessionresumption_ticket","dossierfacile.fr/5.104.101.30","443","INFO","not supported","",""
"sessionresumption_ID","dossierfacile.fr/5.104.101.30","443","INFO","not supported","",""
"TLS_timestamp","dossierfacile.fr/5.104.101.30","443","INFO","random","",""
"certificate_compression","dossierfacile.fr/5.104.101.30","443","INFO","none","",""
"clientAuth","dossierfacile.fr/5.104.101.30","443","INFO","none","",""
"cert_numbers","dossierfacile.fr/5.104.101.30","443","INFO","1","",""
"cert_signatureAlgorithm","dossierfacile.fr/5.104.101.30","443","OK","SHA256 with RSA","",""
"cert_keySize","dossierfacile.fr/5.104.101.30","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","dossierfacile.fr/5.104.101.30","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","dossierfacile.fr/5.104.101.30","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","dossierfacile.fr/5.104.101.30","443","INFO","04B567C4BC87A8838298A60DEDD39669CBBF","",""
"cert_serialNumberLen","dossierfacile.fr/5.104.101.30","443","INFO","18","",""
"cert_fingerprintSHA1","dossierfacile.fr/5.104.101.30","443","INFO","93F8502D8533B0AA9EC4042C4D8FA44082652E9E","",""
"cert_fingerprintSHA256","dossierfacile.fr/5.104.101.30","443","INFO","F5D9FC6F9F520C47F1C7A2C047840705CC82BE90B41046BB53B87DDC05AE94D4","",""
"cert","dossierfacile.fr/5.104.101.30","443","INFO","-----BEGIN CERTIFICATE----- MIIFJTCCBA2gAwIBAgISBLVnxLyHqIOCmKYN7dOWacu/MA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMjA4MTgwODIyMTFaFw0yMjExMTYwODIyMTBaMBsxGTAXBgNVBAMT EGRvc3NpZXJmYWNpbGUuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIB AQCq+X2UXLR0pNiA7wPiFHM9we6Yv6Ia56SCglda0HgJIlMjhvVDQeUmL83CyKbM kL1FsslnZtw8D7qPqyZwR9y3Nu+DmWF8Sl/oQfjqyDctu/QlwXm0laGTADn+JcWX WqRVxhWxrIVJhkgBbCoWhG5aNzCsKKUP4VM9cjee7ZlNs1xm7UeTTfdMRKj55LeT 00c1OKEN6kxq2udHyjng6ITyYhzmB15RwSAS2O81IoitBOixxT479m3fdf0bo7cX 5CkzYBOAwygBPkYDjwUfHT6rZEQO0KJlxVbG0XdvW9JUJll29PzIdrHVRXFVlw7U FyJ0K2a4zmL+2e2WfIHujTHPAgMBAAGjggJKMIICRjAOBgNVHQ8BAf8EBAMCBaAw HQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYD VR0OBBYEFBJ8C18HRacszXlgAM71RtNAZ5/dMB8GA1UdIwQYMBaAFBQusxe3WFbL rlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDov L3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5v cmcvMBsGA1UdEQQUMBKCEGRvc3NpZXJmYWNpbGUuZnIwTAYDVR0gBEUwQzAIBgZn gQwBAgEwNwYLKwYBBAGC3xMBAQEwKDAmBggrBgEFBQcCARYaaHR0cDovL2Nwcy5s ZXRzZW5jcnlwdC5vcmcwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdgBGpVXrdfqR IDC1oolp9PN9ESxBdL79SbiFq/L8cP5tRwAAAYKwQpyJAAAEAwBHMEUCIGqljtS8 Latgm2tNvFgiipgML9Pq1GgHCD3wkmLLa7IzAiEAtHSjGE/vvRyrq06yBuk8m6kE mwJwR18WDuBBe5IrBmgAdQBByMqx3yJGShDGoToJQodeTjGLGwPr60vHaPCQYpYG 9gAAAYKwQp5sAAAEAwBGMEQCIGGAtzCF6a7TVxt/f049fORRLK3ejpBBHUrc/zT/ 2PO6AiB+qLI+IOpZ6UpyfKowPl2diuZFJunVPubFBAuy56n1LjANBgkqhkiG9w0B AQsFAAOCAQEAmY4nWKJmxmON6mZSN28/bV80DYgkj+O5ZAAy7UhlpzrE1KimTp// ZhSY7tNiSoqvEyABAhD2sdEZ98PxuT4EuTyKHRU/erAaQbBy0M1bCBA/I2Utltpe cnbxHXdFKJnDCEp+sOiFGWBOcKSYw83hN5pmyLOrHX2Q+Fi9wgttH0iDcWUQE4BP BNnQrrE2FBE+7u/hsijWVrvFR8qoHZtXdPa2UPxDHH/O/8vqNMhUa9v/DbtnZPAd gV7BgNOcd97iPdzJKeEgoZ+27emZbdNkJEDL3oXCpMRHULYMpkM5zRHVH9PFRaCZ JriBCn91Z3uSAy7Ea3L7Tn8JWWJ1WGwUNw== -----END CERTIFICATE-----","",""
"cert_commonName","dossierfacile.fr/5.104.101.30","443","OK","dossierfacile.fr","",""
"cert_commonName_wo_SNI","dossierfacile.fr/5.104.101.30","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","dossierfacile.fr/5.104.101.30","443","INFO","dossierfacile.fr","",""
"cert_trust","dossierfacile.fr/5.104.101.30","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","dossierfacile.fr/5.104.101.30","443","OK","passed.","",""
"cert_certificatePolicies_EV","dossierfacile.fr/5.104.101.30","443","INFO","no","",""
"cert_expirationStatus","dossierfacile.fr/5.104.101.30","443","OK","87 >= 30 days","",""
"cert_notBefore","dossierfacile.fr/5.104.101.30","443","INFO","2022-08-18 08:22","",""
"cert_notAfter","dossierfacile.fr/5.104.101.30","443","OK","2022-11-16 08:22","",""
"cert_extlifeSpan","dossierfacile.fr/5.104.101.30","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","dossierfacile.fr/5.104.101.30","443","INFO","not present","",""
"cert_crlDistributionPoints","dossierfacile.fr/5.104.101.30","443","INFO","--","",""
"cert_ocspURL","dossierfacile.fr/5.104.101.30","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","dossierfacile.fr/5.104.101.30","443","LOW","not offered","",""
"cert_mustStapleExtension","dossierfacile.fr/5.104.101.30","443","INFO","--","",""
"DNS_CAArecord","dossierfacile.fr/5.104.101.30","443","LOW","--","",""
