"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","INFO","HTTP","",""
"pre_128cipher","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","INFO","No 128 cipher limit bug","",""
"SSLv2","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","OK","not offered","",""
"SSLv3","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","OK","not offered","",""
"TLS1","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","LOW","offered (deprecated)","",""
"TLS1_1","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","LOW","offered (deprecated)","",""
"TLS1_2","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","OK","offered","",""
"TLS1_3","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","OK","offered with final","",""
"ALPN","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","INFO","not offered","",""
"cipherlist_NULL","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_LOW","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","OK","offered","",""
"cipherlist_STRONG","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","OK","offered","",""
"cipher_order","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","OK","server","",""
"protocol_negotiated","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","OK","TLS_AES_256_GCM_SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_1","emplois.inclusion.beta.gouv.fr/185.42.117.108","443","INFO","ECDHE-RSA-AES128-SHA","",""
