"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","immersion.beta.pole-emploi.fr/213.32.73.220","443","INFO","HTTP","",""
"pre_128cipher","immersion.beta.pole-emploi.fr/213.32.73.220","443","INFO","No 128 cipher limit bug","",""
"SSLv2","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","not offered","",""
"SSLv3","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","not offered","",""
"TLS1","immersion.beta.pole-emploi.fr/213.32.73.220","443","INFO","not offered","",""
"TLS1_1","immersion.beta.pole-emploi.fr/213.32.73.220","443","INFO","not offered","",""
"TLS1_2","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","offered","",""
"TLS1_3","immersion.beta.pole-emploi.fr/213.32.73.220","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","immersion.beta.pole-emploi.fr/213.32.73.220","443","INFO","http/1.1","",""
"cipherlist_NULL","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","not offered","","CWE-327"
"cipherlist_LOW","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","immersion.beta.pole-emploi.fr/213.32.73.220","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","immersion.beta.pole-emploi.fr/213.32.73.220","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","offered","",""
"cipherlist_STRONG","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","offered","",""
"cipher_order","immersion.beta.pole-emploi.fr/213.32.73.220","443","HIGH","NOT a cipher order configured","",""
"protocol_negotiated","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","immersion.beta.pole-emploi.fr/213.32.73.220","443","WARN","Default cipher empty  (if IIS6 give OpenSSL 1.0.1 a try)  (limited sense as client will pick)","",""
"cipher-tls1_2_xc030","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc028","immersion.beta.pole-emploi.fr/213.32.73.220","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_x9f","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 4096    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc027","immersion.beta.pole-emploi.fr/213.32.73.220","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc013","immersion.beta.pole-emploi.fr/213.32.73.220","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x9e","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 4096    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9c","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","immersion.beta.pole-emploi.fr/213.32.73.220","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA DHE-RSA-AES128-GCM-SHA256 AES128-GCM-SHA256","",""
"FS","immersion.beta.pole-emploi.fr/213.32.73.220","443","MEDIUM","No ciphers supporting Forward Secrecy offered","",""
"TLS_extensions","immersion.beta.pole-emploi.fr/213.32.73.220","443","INFO","(none)","",""
"TLS_session_ticket","immersion.beta.pole-emploi.fr/213.32.73.220","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","immersion.beta.pole-emploi.fr/213.32.73.220","443","INFO","yes","",""
"sessionresumption_ticket","immersion.beta.pole-emploi.fr/213.32.73.220","443","INFO","not supported","",""
"sessionresumption_ID","immersion.beta.pole-emploi.fr/213.32.73.220","443","WARN","check failed because of connect problem","",""
"TLS_timestamp","immersion.beta.pole-emploi.fr/213.32.73.220","443","INFO","random","",""
"clientAuth","immersion.beta.pole-emploi.fr/213.32.73.220","443","INFO","none","",""
"scanProblem","immersion.beta.pole-emploi.fr/213.32.73.220","443","WARN","Client problem: No server certificate could be retrieved. Thus we can't continue with 'server defaults'.","",""
"cert_numbers","immersion.beta.pole-emploi.fr/213.32.73.220","443","INFO","0","",""
"HTTP_status_code","immersion.beta.pole-emploi.fr/213.32.73.220","443","WARN","HTTP header reply empty","",""
"HTTP_status_code","immersion.beta.pole-emploi.fr/213.32.73.220","443","WARN","No HTTP status code","",""
"scanProblem","immersion.beta.pole-emploi.fr/213.32.73.220","443","WARN","HTTP header was repeatedly zero.","",""
"heartbleed","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","immersion.beta.pole-emploi.fr/213.32.73.220","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
