"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","HTTP","",""
"pre_128cipher","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","No 128 cipher limit bug","",""
"SSLv2","kelrisks.beta.gouv.fr/51.15.175.23","443","OK","not offered","",""
"SSLv3","kelrisks.beta.gouv.fr/51.15.175.23","443","OK","not offered","",""
"TLS1","kelrisks.beta.gouv.fr/51.15.175.23","443","LOW","offered (deprecated)","",""
"TLS1_1","kelrisks.beta.gouv.fr/51.15.175.23","443","LOW","offered (deprecated)","",""
"TLS1_2","kelrisks.beta.gouv.fr/51.15.175.23","443","OK","offered","",""
"TLS1_3","kelrisks.beta.gouv.fr/51.15.175.23","443","OK","offered with final","",""
"ALPN","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","http/1.1","",""
"cipherlist_NULL","kelrisks.beta.gouv.fr/51.15.175.23","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","kelrisks.beta.gouv.fr/51.15.175.23","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","kelrisks.beta.gouv.fr/51.15.175.23","443","OK","not offered","","CWE-327"
"cipherlist_LOW","kelrisks.beta.gouv.fr/51.15.175.23","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","kelrisks.beta.gouv.fr/51.15.175.23","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","kelrisks.beta.gouv.fr/51.15.175.23","443","OK","offered","",""
"cipherlist_STRONG","kelrisks.beta.gouv.fr/51.15.175.23","443","OK","offered","",""
"cipher_order","kelrisks.beta.gouv.fr/51.15.175.23","443","OK","server","",""
"protocol_negotiated","kelrisks.beta.gouv.fr/51.15.175.23","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","kelrisks.beta.gouv.fr/51.15.175.23","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_1","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_2","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","kelrisks.beta.gouv.fr/51.15.175.23","443","OK","offered","",""
"FS_ciphers","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","kelrisks.beta.gouv.fr/51.15.175.23","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","yes","",""
"sessionresumption_ticket","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","supported","",""
"sessionresumption_ID","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","supported","",""
"TLS_timestamp","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","random","",""
"clientAuth","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","none","",""
"cert_numbers","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","1","",""
"cert_signatureAlgorithm","kelrisks.beta.gouv.fr/51.15.175.23","443","OK","SHA256 with RSA","",""
"cert_keySize","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","04BFC377528D8E53A952E4622A1B35E0984D","",""
"cert_fingerprintSHA1","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","8DD4F532193F20D6EA10FFF79C5C39A57C352C98","",""
"cert_fingerprintSHA256","kelrisks.beta.gouv.fr/51.15.175.23","443","INFO","6DB441B5D9E6AD12BE1E8A1E005CB37F23BA5E2F8638906B52AF9BFAC11F7598","",""
