"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not offered","",""
"SSLv3","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not offered","",""
"TLS1","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"TLS1_3","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","h2","",""
"ALPN","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","kelrisks.beta.gouv.fr/5.104.101.30","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"cipherorder_TLSv1_2","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","server","",""
"protocol_negotiated","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"FS_ciphers","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","yes","",""
"sessionresumption_ticket","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","not supported","",""
"sessionresumption_ID","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","not supported","",""
"TLS_timestamp","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","random","",""
"certificate_compression","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","none","",""
"clientAuth","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","none","",""
"cert_numbers","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","1","",""
"cert_signatureAlgorithm","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","SHA256 with RSA","",""
"cert_keySize","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","049C2678D49DA2DCF2F429335295EF3002DC","",""
"cert_serialNumberLen","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","18","",""
"cert_fingerprintSHA1","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","C619C9143BD7DF03A752F00A9126A39C9BAC3435","",""
"cert_fingerprintSHA256","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","86E29C4522C0B9FF3A82053012E21C18DF567D00CFFE092490B9C85106BD53CA","",""
"cert","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","-----BEGIN CERTIFICATE----- MIIFMTCCBBmgAwIBAgISBJwmeNSdotzy9CkzUpXvMALcMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMjA0MjMwNjE3MTdaFw0yMjA3MjIwNjE3MTZaMCAxHjAcBgNVBAMT FWtlbHJpc2tzLmJldGEuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCC AQoCggEBALqnu4NXi1MLMU9MnyVj1311Juk/6h97n67JP2RNc2GWI37nDT8FLDsH qK2UhSsJLfvqByPPzlYFwUj3JQzWBdLtGJzXq/gE7gByp2p2oISS7IOWM1eIvYxI oi4RgLQSRqElzyrmG6KMaS3YTEu/96F1T5M19AaEuFLQihKOWa3kU9+qTxRDTbh9 64IHHnvu6oqB69RaJbcoTkv9LCCYLVIqaOMrqxEyq1JTQYMCJ8P/0wZdtEfoCqpH II3g0SBvBCLQuw+RUcJS5qR5JZ3Yhwdv65dJonciqkcGDqSvtWlqqPDsEZH4RrlC WE8czXJWemrauqOM2QxV6KCmmQFukxsCAwEAAaOCAlEwggJNMA4GA1UdDwEB/wQE AwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIw ADAdBgNVHQ4EFgQUADxLG/qgl3czbce2SIH6a9j9Qv0wHwYDVR0jBBgwFoAUFC6z F7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVo dHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxl bmNyLm9yZy8wIAYDVR0RBBkwF4IVa2Vscmlza3MuYmV0YS5nb3V2LmZyMEwGA1Ud IARFMEMwCAYGZ4EMAQIBMDcGCysGAQQBgt8TAQEBMCgwJgYIKwYBBQUHAgEWGmh0 dHA6Ly9jcHMubGV0c2VuY3J5cHQub3JnMIIBBQYKKwYBBAHWeQIEAgSB9gSB8wDx AHcAKXm+8J45OSHwVnOfY6V35b5XfZxgCvj5TV0mXCVdx4QAAAGAVUg2agAABAMA SDBGAiEAvIneGMl9O+x60WIoXfkqeTvbS4hdQiXNW3p6RbFbzbICIQD/cLamkSkg AJ4Qbl1GVGrTjGqwii36yuRMXyAgwMMYfgB2AG9Tdqwx8DEZ2JkApFEV/3cVHBHZ AsEAKQaNsgiaN9kTAAABgFVIN9oAAAQDAEcwRQIgR6bI0t/HLMz7f91rDPDyWHiS YuS0B15U3qtML0spEPICIQDlZ3ON3t2aFYSFsP96CiMCxZ1HjDgW9+Vo+IVsZwjc ATANBgkqhkiG9w0BAQsFAAOCAQEAWq5DQ6V9FULKhjY6MR03450YpWHeNYr59cnW 7GcySn9/LnWQw/GpcSvxb2dhbJ4XxcuknzfDoG7Jbv17ScgcJs/W7/NbwuS/MlUG RWYJgp5yS8BCQgPyW81svARnpMydcdrIzA/FK66n0y93XNtVRB+i6db8mEHFQ29+ HV0FZ3cq4roGexeVsKuWMHHJhnG4rjneS/SozXfs3HopPoKDbjoYUPYV5idWsUKJ EnXUohWEC8/H1QjeBHA8GhUHeYL3q4u5SxmDjdz9HRZZsMfko/r8wPbWKAaqaYvt FlHYTQy059SOYfuxJwlCKO9LXsFEMz8cdJFT7L+Vr+1kTye7OQ== -----END CERTIFICATE-----","",""
"cert_commonName","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","kelrisks.beta.gouv.fr","",""
"cert_commonName_wo_SNI","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","kelrisks.beta.gouv.fr","",""
"cert_trust","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","passed.","",""
"cert_certificatePolicies_EV","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","no","",""
"cert_expirationStatus","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","47 >= 30 days","",""
"cert_notBefore","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","2022-04-23 06:17","",""
"cert_notAfter","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","2022-07-22 06:17","",""
"cert_extlifeSpan","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","not present","",""
"cert_crlDistributionPoints","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","--","",""
"cert_ocspURL","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","kelrisks.beta.gouv.fr/5.104.101.30","443","LOW","not offered","",""
"cert_mustStapleExtension","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","--","",""
"DNS_CAArecord","kelrisks.beta.gouv.fr/5.104.101.30","443","LOW","--","",""
"certificate_transparency","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","yes (certificate extension)","",""
"certs_countServer","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","3","",""
"certs_list_ordering_problem","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","no","",""
"cert_caIssuers","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","R3 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","-----BEGIN CERTIFICATE----- MIIFFjCCAv6gAwIBAgIRAJErCErPDBinU/bWLiWnX1owDQYJKoZIhvcNAQELBQAw TzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2Vh cmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjAwOTA0MDAwMDAw WhcNMjUwOTE1MTYwMDAwWjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3Mg RW5jcnlwdDELMAkGA1UEAxMCUjMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEK AoIBAQC7AhUozPaglNMPEuyNVZLD+ILxmaZ6QoinXSaqtSu5xUyxr45r+XXIo9cP R5QUVTVXjJ6oojkZ9YI8QqlObvU7wy7bjcCwXPNZOOftz2nwWgsbvsCUJCWH+jdx sxPnHKzhm+/b5DtFUkWWqcFTzjTIUu61ru2P3mBw4qVUq7ZtDpelQDRrK9O8Zutm NHz6a4uPVymZ+DAXXbpyb/uBxa3Shlg9F8fnCbvxK/eG3MHacV3URuPMrSXBiLxg Z3Vms/EY96Jc5lP/Ooi2R6X/ExjqmAl3P51T+c8B5fWmcBcUr2Ok/5mzk53cU6cG /kiFHaFpriV1uxPMUgP17VGhi9sVAgMBAAGjggEIMIIBBDAOBgNVHQ8BAf8EBAMC AYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYB Af8CAQAwHQYDVR0OBBYEFBQusxe3WFbLrlAJQOYfr52LFMLGMB8GA1UdIwQYMBaA FHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcw AoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzAnBgNVHR8EIDAeMBygGqAYhhZodHRw Oi8veDEuYy5sZW5jci5vcmcvMCIGA1UdIAQbMBkwCAYGZ4EMAQIBMA0GCysGAQQB gt8TAQEBMA0GCSqGSIb3DQEBCwUAA4ICAQCFyk5HPqP3hUSFvNVneLKYY611TR6W PTNlclQtgaDqw+34IL9fzLdwALduO/ZelN7kIJ+m74uyA+eitRY8kc607TkC53wl ikfmZW4/RvTZ8M6UK+5UzhK8jCdLuMGYL6KvzXGRSgi3yLgjewQtCPkIVz6D2QQz CkcheAmCJ8MqyJu5zlzyZMjAvnnAT45tRAxekrsu94sQ4egdRCnbWSDtY7kh+BIm lJNXoB1lBMEKIq4QDUOXoRgffuDghje1WrG9ML+Hbisq/yFOGwXD9RiX8F6sw6W4 avAuvDszue5L3sz85K+EC4Y/wFVDNvZo4TYXao6Z0f+lQKc0t8DQYzk1OXVu8rp2 yJMC6alLbBfODALZvYH7n7do1AZls4I9d1P4jnkDrQoxB3UqQ9hVl3LEKQ73xF1O yK5GhDDX8oVfGKF5u+decIsH4YaTw7mP3GFxJSqv3+0lUFJoi5Lc5da149p90Ids hCExroL1+7mryIkXPeFM5TgO9r0rvZaBFOvV2z0gp35Z0+L4WPlbuEjN/lxPFin+ HlUjr8gRsI3qfJOQFy/9rKIJR0Y/8Omwt/8oTWgy1mdeHmmjk7j1nYsvC9JSQ6Zv MldlTTKB3zhThV1+XWYp6rjd5JW1zbVWEkLNxE7GJThEUG3szgBVGP7pSWTUTsqX nLRbwHOoq7hHwg== -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","67ADD1166B020AE61B8F5FC96813C04C2AA589960796865572A3C7E737613DFD","",""
"intermediate_cert_notBefore <#1>","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","2020-09-04 00:00","",""
"intermediate_cert_notAfter <#1>","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","2025-09-15 16:00","",""
"intermediate_cert_expiration <#1>","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","R3 <-- ISRG Root X1","",""
"intermediate_cert <#2>","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","-----BEGIN CERTIFICATE----- MIIFYDCCBEigAwIBAgIQQAF3ITfU6UK47naqPGQKtzANBgkqhkiG9w0BAQsFADA/ MSQwIgYDVQQKExtEaWdpdGFsIFNpZ25hdHVyZSBUcnVzdCBDby4xFzAVBgNVBAMT DkRTVCBSb290IENBIFgzMB4XDTIxMDEyMDE5MTQwM1oXDTI0MDkzMDE4MTQwM1ow TzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2Vh cmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwggIiMA0GCSqGSIb3DQEB AQUAA4ICDwAwggIKAoICAQCt6CRz9BQ385ueK1coHIe+3LffOJCMbjzmV6B493XC ov71am72AE8o295ohmxEk7axY/0UEmu/H9LqMZshftEzPLpI9d1537O4/xLxIZpL wYqGcWlKZmZsj348cL+tKSIG8+TA5oCu4kuPt5l+lAOf00eXfJlII1PoOK5PCm+D LtFJV4yAdLbaL9A4jXsDcCEbdfIwPPqPrt3aY6vrFk/CjhFLfs8L6P+1dy70sntK 4EwSJQxwjQMpoOFTJOwT2e4ZvxCzSow/iaNhUd6shweU9GNx7C7ib1uYgeGJXDR5 bHbvO5BieebbpJovJsXQEOEO3tkQjhb7t/eo98flAgeYjzYIlefiN5YNNnWe+w5y sR2bvAP5SQXYgd0FtCrWQemsAXaVCg/Y39W9Eh81LygXbNKYwagJZHduRze6zqxZ Xmidf3LWicUGQSk+WT7dJvUkyRGnWqNMQB9GoZm1pzpRboY7nn1ypxIFeFntPlF4 FQsDj43QLwWyPntKHEtzBRL8xurgUBN8Q5N0s8p0544fAQjQMNRbcTa0B7rBMDBc SLeCO5imfWCKoqMpgsy6vYMEG6KDA0Gh1gXxG8K28Kh8hjtGqEgqiNx2mna/H2ql PRmP6zjzZN7IKw0KKP/32+IVQtQi0Cdd4Xn+GOdwiK1O5tmLOsbdJ1Fu/7xk9TND TwIDAQABo4IBRjCCAUIwDwYDVR0TAQH/BAUwAwEB/zAOBgNVHQ8BAf8EBAMCAQYw SwYIKwYBBQUHAQEEPzA9MDsGCCsGAQUFBzAChi9odHRwOi8vYXBwcy5pZGVudHJ1 c3QuY29tL3Jvb3RzL2RzdHJvb3RjYXgzLnA3YzAfBgNVHSMEGDAWgBTEp7Gkeyxx +tvhS5B1/8QVYIWJEDBUBgNVHSAETTBLMAgGBmeBDAECATA/BgsrBgEEAYLfEwEB ATAwMC4GCCsGAQUFBwIBFiJodHRwOi8vY3BzLnJvb3QteDEubGV0c2VuY3J5cHQu b3JnMDwGA1UdHwQ1MDMwMaAvoC2GK2h0dHA6Ly9jcmwuaWRlbnRydXN0LmNvbS9E U1RST09UQ0FYM0NSTC5jcmwwHQYDVR0OBBYEFHm0WeZ7tuXkAXOACIjIGlj26Ztu MA0GCSqGSIb3DQEBCwUAA4IBAQAKcwBslm7/DlLQrt2M51oGrS+o44+/yQoDFVDC 5WxCu2+b9LRPwkSICHXM6webFGJueN7sJ7o5XPWioW5WlHAQU7G75K/QosMrAdSW 9MUgNTP52GE24HGNtLi1qoJFlcDyqSMo59ahy2cI2qBDLKobkx/J3vWraV0T9VuG WCLKTVXkcGdtwlfFRjlBz4pYg1htmf5X6DYO8A4jqv2Il9DjXA6USbW1FzXSLr9O he8Y4IWS6wY7bCkjCWDcRQJMEhg76fsO3txE+FiYruq9RUWhiF1myv4Q6W+CyBFC Dfvp7OOGAN6dEOM4+qR9sdjoSYKEBpsr6GtPAQw4dy753ec5 -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#2>","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","6D99FB265EB1C5B3744765FCBC648F3CD8E1BFFAFDC4C2F99B9D47CF7FF1C24F","",""
"intermediate_cert_notBefore <#2>","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","2021-01-20 19:14","",""
"intermediate_cert_notAfter <#2>","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","2024-09-30 18:14","",""
"intermediate_cert_expiration <#2>","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","ISRG Root X1 <-- DST Root CA X3","",""
"intermediate_cert_badOCSP","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","301 Moved Permanently ('/')","",""
"HTTP_clock_skew","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","1654405544","",""
"HSTS","kelrisks.beta.gouv.fr/5.104.101.30","443","LOW","not offered","",""
"HPKP","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","No Server banner line in header, interesting!","",""
"banner_application","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","No application banner found","",""
"cookie_count","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","0 at '/' (30x detected, better try target URL of 30x)","",""
"security_headers","kelrisks.beta.gouv.fr/5.104.101.30","443","MEDIUM","--","",""
"banner_reverseproxy","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","--","","CWE-200"
"heartbleed","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","supported","","CWE-310"
"secure_client_renego","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=86E29C4522C0B9FF3A82053012E21C18DF567D00CFFE092490B9C85106BD53CA","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","--","CVE-2015-4000","CWE-310"
"BEAST","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","kelrisks.beta.gouv.fr/5.104.101.30","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","kelrisks.beta.gouv.fr/5.104.101.30","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","kelrisks.beta.gouv.fr/5.104.101.30","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
