"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","HTTP","",""
"pre_128cipher","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","No 128 cipher limit bug","",""
"SSLv2","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","OK","not offered","",""
"SSLv3","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","OK","not offered","",""
"TLS1","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","LOW","offered (deprecated)","",""
"TLS1_1","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","LOW","offered (deprecated)","",""
"TLS1_2","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","OK","offered","",""
"TLS1_3","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","OK","offered with final","",""
"ALPN","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","not offered","",""
"cipherlist_NULL","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_LOW","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","OK","offered","",""
"cipherlist_STRONG","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","OK","offered","",""
"cipher_order","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","OK","server","",""
"protocol_negotiated","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","OK","TLS_AES_256_GCM_SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_1","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_2","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","OK","offered","",""
"FS_ciphers","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","OK","prime256v1","",""
"TLS_extensions","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'max fragment length/#1' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","yes","",""
"sessionresumption_ticket","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","not supported","",""
"sessionresumption_ID","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","not supported","",""
"TLS_timestamp","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","random","",""
"clientAuth","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","none","",""
"cert_numbers","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","1","",""
"cert_signatureAlgorithm","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","OK","SHA256 with RSA","",""
"cert_keySize","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","04D6C313DDE30D87601715326BB165165AEC","",""
"cert_fingerprintSHA1","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","191235E835619431E66A3CA9400EF24340512440","",""
"cert_fingerprintSHA256","lemarche.inclusion.beta.gouv.fr/185.42.117.109","443","INFO","475559633F4A77476146E6B12D5B298793D22DB205293307D49E7F91E60C2ECC","",""
