"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","HTTP","",""
"pre_128cipher","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","OK","not offered","",""
"SSLv3","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","OK","not offered","",""
"TLS1","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","not offered","",""
"TLS1_1","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","not offered","",""
"TLS1_2","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","OK","offered","",""
"TLS1_3","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","OK","offered with final","",""
"ALPN","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","not offered","",""
"cipherlist_NULL","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","not offered","",""
"cipherlist_STRONG_FS","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","OK","offered","",""
"cipher_order-tls1_2","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","OK","server","",""
"cipherorder_TLSv1_2","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","OK","server","",""
"FS","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","OK","offered","",""
"FS_ciphers","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","OK","prime256v1","",""
"TLS_extensions","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","'renegotiation info/#65281' 'supported versions/#43' 'key share/#51' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","no","",""
"sessionresumption_ticket","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","not supported","",""
"sessionresumption_ID","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","random","",""
"certificate_compression","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","none","",""
"clientAuth","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","none","",""
"cert_numbers","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","1","",""
"cert_signatureAlgorithm","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","OK","SHA384 with RSA","",""
"cert_keySize","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","3334514F86B2E0F91B130CF5C3F0265B","",""
"cert_serialNumberLen","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","16","",""
"cert_fingerprintSHA1","ma-cantine.agriculture.gouv.fr/185.42.117.108","443","INFO","E70ECAACBCBBD7487FDE6F94E2C2E3DEE59DDE96","",""
