"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","HTTP","",""
"pre_128cipher","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","No 128 cipher limit bug","",""
"SSLv2","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","not offered","",""
"SSLv3","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","not offered","",""
"TLS1","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","not offered","",""
"TLS1_1","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","not offered","",""
"TLS1_2","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","offered","",""
"TLS1_3","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","offered with final","",""
"ALPN","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","http/1.1","",""
"cipherlist_NULL","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","not offered","","CWE-327"
"cipherlist_LOW","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","not offered","",""
"cipherlist_STRONG","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","offered","",""
"cipher-tls1_2_xc030","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","HIGH","NOT a cipher order configured","",""
"protocol_negotiated","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)  (limited sense as client will pick)","",""
"FS","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","offered","",""
"FS_ciphers","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","yes","",""
"sessionresumption_ticket","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","not supported","",""
"sessionresumption_ID","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","supported","",""
"TLS_timestamp","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","random","",""
"certificate_compression","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","none","",""
"clientAuth","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","none","",""
"cert_numbers","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","1","",""
"cert_signatureAlgorithm","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","SHA256 with RSA","",""
"cert_keySize","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","03B7636C38DB234E2F79FBF42C69695EE16F","",""
"cert_serialNumberLen","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","18","",""
"cert_fingerprintSHA1","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","2F872C4DA9BB2ADD66F689ED9754608C5E3FFC58","",""
"cert_fingerprintSHA256","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","BCD4460D99E208751587067FAEB5E14B4FEC63B2E3F02E30D36F4387E5BFFFA2","",""
"cert","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","-----BEGIN CERTIFICATE----- MIIFSDCCBDCgAwIBAgISA7djbDjbI04vefv0LGlpXuFvMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMjA3MzEyMzAxNDdaFw0yMjEwMjkyMzAxNDZaMCwxKjAoBgNVBAMT IW1hdGNoYS5hcHByZW50aXNzYWdlLmJldGEuZ291di5mcjCCASIwDQYJKoZIhvcN AQEBBQADggEPADCCAQoCggEBAPExDKEGK1ngIkYaFW5NUCjrvNXQzsRrNUqA71BQ qbbl6HkZvYVSWax5lSEUHiAseRJyL+uIW7P7crT/v04wOvDK/LrYHdT8mwIXBRpJ iWzejRENIby+xqaFiP2CDoBue6PtwUzdu2hq/SasAx/4GA2EiarC009aNZdn4abP BoGNfbR4kk+BQh9GqMCVJn9sNvmc82bvmw06Q09U0DQu5owhHV2Le6LCflLTK9N8 rHyaHZSA02tAEbtiiYcPZQ8OKizKQTQWW1yCpUn+hyduSk5a+JHb4J+r/q/kn4ZX SsXm2zE0ylZ7WIDKkvZ6esa+p7WM+oJWsfWERKpWpKfOix8CAwEAAaOCAlwwggJY MA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIw DAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUwxUcqcWgaKFskxZlbg7VgzDRgMEwHwYD VR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEG CCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0 dHA6Ly9yMy5pLmxlbmNyLm9yZy8wLAYDVR0RBCUwI4IhbWF0Y2hhLmFwcHJlbnRp c3NhZ2UuYmV0YS5nb3V2LmZyMEwGA1UdIARFMEMwCAYGZ4EMAQIBMDcGCysGAQQB gt8TAQEBMCgwJgYIKwYBBQUHAgEWGmh0dHA6Ly9jcHMubGV0c2VuY3J5cHQub3Jn MIIBBAYKKwYBBAHWeQIEAgSB9QSB8gDwAHUAQcjKsd8iRkoQxqE6CUKHXk4xixsD 6+tLx2jwkGKWBvYAAAGCVrVvNgAABAMARjBEAiAlenlNgU5ekiwp0TG26Z7AxJAV NkiIb4vESxcv4VWAmQIgWt3wa4vx9+uuGopvkmloQO7lQdIIyECp16pXDkMifMsA dwBGpVXrdfqRIDC1oolp9PN9ESxBdL79SbiFq/L8cP5tRwAAAYJWtW9NAAAEAwBI MEYCIQDwv8G3QqEG9XT0AR8jTYAHu2XGDfIStY38SddRLodgMgIhAJjYOgMCVBot 8ABz/ZpSZKk2OeVwmo7QV4XNBQWo0xPNMA0GCSqGSIb3DQEBCwUAA4IBAQBZXs6k rfgJPMza1nfP/e1lcuKND/NfgTTDgcpaGbBkUXbFvuf813pnjcBrs3wXDMz/NSDV wr1hSVO8ryY8OIPzIWcDxPKGlP2dLmlsaQrz33mBFO8z7ebpUWCSi4MiMMgJjJmw 5LImXFMdGE3uUL1FhEYdnh2ojSlCaStF+/hHwMJBYunoz5a9luSD9OKJ/hbq6gC3 uloBUruWS+dcWld4ssJR39dO79ta5bSr0NRnKfHVDkxUUy9nXcqcGhmmBHd5z48a PuVABRpmQg1n4iGbza1m7ogwjr7npZluewbzqVLsB4inav2ncYyPd6LPdBJ7V06Y r3Gq3HYZKa7VgcCv -----END CERTIFICATE-----","",""
"cert_commonName","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","matcha.apprentissage.beta.gouv.fr","",""
"cert_commonName_wo_SNI","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","matcha.apprentissage.beta.gouv.fr","",""
"cert_subjectAltName","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","matcha.apprentissage.beta.gouv.fr","",""
"cert_trust","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","passed.","",""
"cert_certificatePolicies_EV","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","no","",""
"cert_expirationStatus","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","41 >= 30 days","",""
"cert_notBefore","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","2022-07-31 23:01","",""
"cert_notAfter","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","2022-10-29 23:01","",""
"cert_extlifeSpan","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","not present","",""
"cert_crlDistributionPoints","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","--","",""
"cert_ocspURL","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","LOW","not offered","",""
"cert_mustStapleExtension","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","--","",""
"DNS_CAArecord","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","LOW","--","",""
"certificate_transparency","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","OK","yes (certificate extension)","",""
"certs_countServer","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","3","",""
"certs_list_ordering_problem","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","no","",""
"cert_caIssuers","matcha.apprentissage.beta.gouv.fr/51.178.42.135","443","INFO","R3 (Let's Encrypt from US)","",""
