"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","INFO","HTTP","",""
"pre_128cipher","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","not offered","",""
"SSLv3","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","not offered","",""
"TLS1","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","LOW","offered (deprecated)","",""
"TLS1_1","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","LOW","offered (deprecated)","",""
"TLS1_2","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","offered","",""
"TLS1_3","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","INFO","not offered","",""
"cipherlist_NULL","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","offered","",""
"cipherlist_STRONG","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","offered","",""
"cipher_order-tls1","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","server","",""
"cipherorder_TLSv1","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","server","",""
"cipherorder_TLSv1_1","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","server","",""
"cipherorder_TLSv1_2","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","server","",""
"protocol_negotiated","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"FS","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","offered","",""
"FS_ciphers","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","INFO","yes","",""
"sessionresumption_ticket","mesevenementsemploi.pole-emploi.fr/185.215.64.42","443","INFO","not supported","",""
