"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","HTTP","",""
"pre_128cipher","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mon-entreprise.urssaf.fr/54.161.234.33","443","OK","not offered","",""
"SSLv3","mon-entreprise.urssaf.fr/54.161.234.33","443","OK","not offered","",""
"TLS1","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","not offered","",""
"TLS1_1","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","not offered","",""
"TLS1_2","mon-entreprise.urssaf.fr/54.161.234.33","443","OK","offered","",""
"TLS1_3","mon-entreprise.urssaf.fr/54.161.234.33","443","OK","offered with final","",""
"ALPN_HTTP2","mon-entreprise.urssaf.fr/54.161.234.33","443","OK","h2","",""
"ALPN","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","http/1.1","",""
"cipherlist_NULL","mon-entreprise.urssaf.fr/54.161.234.33","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mon-entreprise.urssaf.fr/54.161.234.33","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mon-entreprise.urssaf.fr/54.161.234.33","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mon-entreprise.urssaf.fr/54.161.234.33","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mon-entreprise.urssaf.fr/54.161.234.33","443","OK","offered","",""
"cipher_order-tls1_2","mon-entreprise.urssaf.fr/54.161.234.33","443","OK","server","",""
"cipherorder_TLSv1_2","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","mon-entreprise.urssaf.fr/54.161.234.33","443","OK","server -- TLS 1.3 client determined","",""
"FS","mon-entreprise.urssaf.fr/54.161.234.33","443","OK","offered","",""
"FS_ciphers","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","mon-entreprise.urssaf.fr/54.161.234.33","443","OK","prime256v1","",""
"TLS_extensions","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","'session ticket/#35' 'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","yes","",""
"sessionresumption_ticket","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","not supported","",""
"sessionresumption_ID","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","not supported","",""
"TLS_timestamp","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","random","",""
"certificate_compression","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","none","",""
"clientAuth","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","none","",""
"cert_numbers","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","1","",""
"cert_signatureAlgorithm","mon-entreprise.urssaf.fr/54.161.234.33","443","OK","SHA256 with RSA","",""
"cert_keySize","mon-entreprise.urssaf.fr/54.161.234.33","443","INFO","RSA 2048 bits (exponent is 65537)","",""
