"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipher_order","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"protocol_negotiated","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"FS_ciphers","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","INFO","yes","",""
"sessionresumption_ticket","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"sessionresumption_ID","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"TLS_timestamp","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","INFO","random","",""
"certificate_compression","mon-suivi-justice.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
