"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","moana.beta.gouv.fr/148.253.96.193","443","INFO","HTTP","",""
"pre_128cipher","moana.beta.gouv.fr/148.253.96.193","443","INFO","No 128 cipher limit bug","",""
"SSLv2","moana.beta.gouv.fr/148.253.96.193","443","OK","not offered","",""
"SSLv3","moana.beta.gouv.fr/148.253.96.193","443","OK","not offered","",""
"TLS1","moana.beta.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"TLS1_1","moana.beta.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"TLS1_2","moana.beta.gouv.fr/148.253.96.193","443","OK","offered","",""
"TLS1_3","moana.beta.gouv.fr/148.253.96.193","443","OK","offered with final","",""
"ALPN_HTTP2","moana.beta.gouv.fr/148.253.96.193","443","OK","h2","",""
"ALPN","moana.beta.gouv.fr/148.253.96.193","443","INFO","http/1.1","",""
"cipherlist_NULL","moana.beta.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","moana.beta.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","moana.beta.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_LOW","moana.beta.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","moana.beta.gouv.fr/148.253.96.193","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","moana.beta.gouv.fr/148.253.96.193","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","moana.beta.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"cipherlist_STRONG","moana.beta.gouv.fr/148.253.96.193","443","OK","offered","",""
"cipherorder_TLSv1_2","moana.beta.gouv.fr/148.253.96.193","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","moana.beta.gouv.fr/148.253.96.193","443","OK","server","",""
"protocol_negotiated","moana.beta.gouv.fr/148.253.96.193","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","moana.beta.gouv.fr/148.253.96.193","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","moana.beta.gouv.fr/148.253.96.193","443","OK","offered","",""
"FS_ciphers","moana.beta.gouv.fr/148.253.96.193","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","moana.beta.gouv.fr/148.253.96.193","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","moana.beta.gouv.fr/148.253.96.193","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","moana.beta.gouv.fr/148.253.96.193","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","moana.beta.gouv.fr/148.253.96.193","443","INFO","yes","",""
"sessionresumption_ticket","moana.beta.gouv.fr/148.253.96.193","443","INFO","not supported","",""
"sessionresumption_ID","moana.beta.gouv.fr/148.253.96.193","443","INFO","not supported","",""
"TLS_timestamp","moana.beta.gouv.fr/148.253.96.193","443","INFO","random","",""
"certificate_compression","moana.beta.gouv.fr/148.253.96.193","443","INFO","none","",""
"clientAuth","moana.beta.gouv.fr/148.253.96.193","443","INFO","none","",""
"cert_numbers","moana.beta.gouv.fr/148.253.96.193","443","INFO","1","",""
"cert_signatureAlgorithm","moana.beta.gouv.fr/148.253.96.193","443","OK","SHA256 with RSA","",""
"cert_keySize","moana.beta.gouv.fr/148.253.96.193","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","moana.beta.gouv.fr/148.253.96.193","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","moana.beta.gouv.fr/148.253.96.193","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","moana.beta.gouv.fr/148.253.96.193","443","INFO","042B5939143CBA9685B8128D7681B14017CC","",""
"cert_serialNumberLen","moana.beta.gouv.fr/148.253.96.193","443","INFO","18","",""
"cert_fingerprintSHA1","moana.beta.gouv.fr/148.253.96.193","443","INFO","101441D2586997210FEDF3BB3A91034027BF1BCC","",""
"cert_fingerprintSHA256","moana.beta.gouv.fr/148.253.96.193","443","INFO","E7F676D0DDB5916F051ED1279F16859BBE0154C74D8ECA6B254CA42F23AD89FD","",""
"cert","moana.beta.gouv.fr/148.253.96.193","443","INFO","-----BEGIN CERTIFICATE----- MIIFKTCCBBGgAwIBAgISBCtZORQ8upaFuBKNdoGxQBfMMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMjA5MTUwNzU3MTNaFw0yMjEyMTQwNzU3MTJaMB0xGzAZBgNVBAMT Em1vYW5hLmJldGEuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoC ggEBAMoUD1hKt411UDQC2hBLQtzIWrm5SitwxsDpe98yhEGHXElVMy6JlarrESJW NYGxx4wLUAy9rgRWys5GpXQz1Ob9dopJxX+KZNdVMj5I5W8JXquRgyNzpz1aNf2K uY7KXLxOceXLNfs4JNVa/Ofv6X6vN+mKzdLYbJpf6KP6S2mtpWPPJQQSRMai5fJ5 Vwtfjb8fPJESZFw4Kx5SZaV+vbOvSfHn0gvZmyZxgMJ6iHS4mawLbWu3xT8IBX5j 9cnYuykodqBuvlTHMmdPOTTuYkRImGIAAY6S8c2AFgQ88YF3to6ktxJdlP8f6MZ0 T+ZvcZCwGJhMCH02j8QgHtZfBVECAwEAAaOCAkwwggJIMA4GA1UdDwEB/wQEAwIF oDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAd BgNVHQ4EFgQUyzMTibjZEd1eRTqi0wf6PwkFX90wHwYDVR0jBBgwFoAUFC6zF7dY VsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRw Oi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNy Lm9yZy8wHQYDVR0RBBYwFIISbW9hbmEuYmV0YS5nb3V2LmZyMEwGA1UdIARFMEMw CAYGZ4EMAQIBMDcGCysGAQQBgt8TAQEBMCgwJgYIKwYBBQUHAgEWGmh0dHA6Ly9j cHMubGV0c2VuY3J5cHQub3JnMIIBAwYKKwYBBAHWeQIEAgSB9ASB8QDvAHYAQcjK sd8iRkoQxqE6CUKHXk4xixsD6+tLx2jwkGKWBvYAAAGDQF3QNwAABAMARzBFAiEA oUUAPl0foHD5/KXQ/boeG45JlkD86ofmjhbdtGrP5IcCIAqarcRPefccpg6wof2j WmtWrLjJQipDS1T5y/xH4J/sAHUAKXm+8J45OSHwVnOfY6V35b5XfZxgCvj5TV0m XCVdx4QAAAGDQF3QMAAABAMARjBEAiBHScdmSfMKOe0mWGrObVw6WPM/r5Dsp3NH ROAw1Ivv3QIgDPF2gExg9Ipg7XZJZr8Ha3f9PA2D8btU9MFZwmH6HQgwDQYJKoZI hvcNAQELBQADggEBAJWQI7QoAberCo2r0gTycZ9Ps10dVPqj3A8H4G0TjO0JBn/g z7rcVEv9uHLXKjnjzAef2PZ3Y+bJLEnYxjic0hUvdSGmAshzNeI+RKrBrmrFITto cinPE/gJsPelFVSWdZXrf/slBvLxAE8fXQOQ54F5/3ls8WUyWTm79YeCXNBzbUNY xVip7RtGjrAgaa+uCKv6g40gDX3nNRvriQGEpEHvIBBmJBxUb0QoNSUnvU3WQjBo 2qd44/8RLoGyK3GiuNTx6zd3ekFgyF5wfTICc6e4gJUv37XDQ5IdUmGD8hiF6U4i Mop2X4IUykHFBHkyZiz8kbxhVHh0HXr2GKDPOEI= -----END CERTIFICATE-----","",""
"cert_commonName","moana.beta.gouv.fr/148.253.96.193","443","OK","moana.beta.gouv.fr","",""
"cert_commonName_wo_SNI","moana.beta.gouv.fr/148.253.96.193","443","INFO","*.osc-secnum-fr1.scalingo.io","",""
"cert_subjectAltName","moana.beta.gouv.fr/148.253.96.193","443","INFO","moana.beta.gouv.fr","",""
"cert_trust","moana.beta.gouv.fr/148.253.96.193","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","moana.beta.gouv.fr/148.253.96.193","443","OK","passed.","",""
"cert_certificatePolicies_EV","moana.beta.gouv.fr/148.253.96.193","443","INFO","no","",""
"cert_expirationStatus","moana.beta.gouv.fr/148.253.96.193","443","OK","86 >= 30 days","",""
"cert_notBefore","moana.beta.gouv.fr/148.253.96.193","443","INFO","2022-09-15 07:57","",""
"cert_notAfter","moana.beta.gouv.fr/148.253.96.193","443","OK","2022-12-14 07:57","",""
"cert_extlifeSpan","moana.beta.gouv.fr/148.253.96.193","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","moana.beta.gouv.fr/148.253.96.193","443","INFO","not present","",""
"cert_crlDistributionPoints","moana.beta.gouv.fr/148.253.96.193","443","INFO","--","",""
"cert_ocspURL","moana.beta.gouv.fr/148.253.96.193","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","moana.beta.gouv.fr/148.253.96.193","443","LOW","not offered","",""
"cert_mustStapleExtension","moana.beta.gouv.fr/148.253.96.193","443","INFO","--","",""
"DNS_CAArecord","moana.beta.gouv.fr/148.253.96.193","443","LOW","--","",""
"certificate_transparency","moana.beta.gouv.fr/148.253.96.193","443","OK","yes (certificate extension)","",""
"certs_countServer","moana.beta.gouv.fr/148.253.96.193","443","INFO","3","",""
"certs_list_ordering_problem","moana.beta.gouv.fr/148.253.96.193","443","INFO","no","",""
"cert_caIssuers","moana.beta.gouv.fr/148.253.96.193","443","INFO","R3 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","moana.beta.gouv.fr/148.253.96.193","443","INFO","-----BEGIN CERTIFICATE----- MIIFFjCCAv6gAwIBAgIRAJErCErPDBinU/bWLiWnX1owDQYJKoZIhvcNAQELBQAw TzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2Vh cmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjAwOTA0MDAwMDAw WhcNMjUwOTE1MTYwMDAwWjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3Mg RW5jcnlwdDELMAkGA1UEAxMCUjMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEK AoIBAQC7AhUozPaglNMPEuyNVZLD+ILxmaZ6QoinXSaqtSu5xUyxr45r+XXIo9cP R5QUVTVXjJ6oojkZ9YI8QqlObvU7wy7bjcCwXPNZOOftz2nwWgsbvsCUJCWH+jdx sxPnHKzhm+/b5DtFUkWWqcFTzjTIUu61ru2P3mBw4qVUq7ZtDpelQDRrK9O8Zutm NHz6a4uPVymZ+DAXXbpyb/uBxa3Shlg9F8fnCbvxK/eG3MHacV3URuPMrSXBiLxg Z3Vms/EY96Jc5lP/Ooi2R6X/ExjqmAl3P51T+c8B5fWmcBcUr2Ok/5mzk53cU6cG /kiFHaFpriV1uxPMUgP17VGhi9sVAgMBAAGjggEIMIIBBDAOBgNVHQ8BAf8EBAMC AYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYB Af8CAQAwHQYDVR0OBBYEFBQusxe3WFbLrlAJQOYfr52LFMLGMB8GA1UdIwQYMBaA FHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcw AoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzAnBgNVHR8EIDAeMBygGqAYhhZodHRw Oi8veDEuYy5sZW5jci5vcmcvMCIGA1UdIAQbMBkwCAYGZ4EMAQIBMA0GCysGAQQB gt8TAQEBMA0GCSqGSIb3DQEBCwUAA4ICAQCFyk5HPqP3hUSFvNVneLKYY611TR6W PTNlclQtgaDqw+34IL9fzLdwALduO/ZelN7kIJ+m74uyA+eitRY8kc607TkC53wl ikfmZW4/RvTZ8M6UK+5UzhK8jCdLuMGYL6KvzXGRSgi3yLgjewQtCPkIVz6D2QQz CkcheAmCJ8MqyJu5zlzyZMjAvnnAT45tRAxekrsu94sQ4egdRCnbWSDtY7kh+BIm lJNXoB1lBMEKIq4QDUOXoRgffuDghje1WrG9ML+Hbisq/yFOGwXD9RiX8F6sw6W4 avAuvDszue5L3sz85K+EC4Y/wFVDNvZo4TYXao6Z0f+lQKc0t8DQYzk1OXVu8rp2 yJMC6alLbBfODALZvYH7n7do1AZls4I9d1P4jnkDrQoxB3UqQ9hVl3LEKQ73xF1O yK5GhDDX8oVfGKF5u+decIsH4YaTw7mP3GFxJSqv3+0lUFJoi5Lc5da149p90Ids hCExroL1+7mryIkXPeFM5TgO9r0rvZaBFOvV2z0gp35Z0+L4WPlbuEjN/lxPFin+ HlUjr8gRsI3qfJOQFy/9rKIJR0Y/8Omwt/8oTWgy1mdeHmmjk7j1nYsvC9JSQ6Zv MldlTTKB3zhThV1+XWYp6rjd5JW1zbVWEkLNxE7GJThEUG3szgBVGP7pSWTUTsqX nLRbwHOoq7hHwg== -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","moana.beta.gouv.fr/148.253.96.193","443","INFO","67ADD1166B020AE61B8F5FC96813C04C2AA589960796865572A3C7E737613DFD","",""
"intermediate_cert_notBefore <#1>","moana.beta.gouv.fr/148.253.96.193","443","INFO","2020-09-04 00:00","",""
"intermediate_cert_notAfter <#1>","moana.beta.gouv.fr/148.253.96.193","443","OK","2025-09-15 16:00","",""
"intermediate_cert_expiration <#1>","moana.beta.gouv.fr/148.253.96.193","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","moana.beta.gouv.fr/148.253.96.193","443","INFO","R3 <-- ISRG Root X1","",""
