"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","nosgestesclimat.fr/52.52.138.60","443","INFO","HTTP","",""
"pre_128cipher","nosgestesclimat.fr/52.52.138.60","443","INFO","No 128 cipher limit bug","",""
"SSLv2","nosgestesclimat.fr/52.52.138.60","443","OK","not offered","",""
"SSLv3","nosgestesclimat.fr/52.52.138.60","443","OK","not offered","",""
"TLS1","nosgestesclimat.fr/52.52.138.60","443","INFO","not offered","",""
"TLS1_1","nosgestesclimat.fr/52.52.138.60","443","INFO","not offered","",""
"TLS1_2","nosgestesclimat.fr/52.52.138.60","443","OK","offered","",""
"TLS1_3","nosgestesclimat.fr/52.52.138.60","443","OK","offered with final","",""
"ALPN_HTTP2","nosgestesclimat.fr/52.52.138.60","443","OK","h2","",""
"ALPN","nosgestesclimat.fr/52.52.138.60","443","INFO","http/1.1","",""
"cipherlist_NULL","nosgestesclimat.fr/52.52.138.60","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","nosgestesclimat.fr/52.52.138.60","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","nosgestesclimat.fr/52.52.138.60","443","OK","not offered","","CWE-327"
"cipherlist_LOW","nosgestesclimat.fr/52.52.138.60","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","nosgestesclimat.fr/52.52.138.60","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","nosgestesclimat.fr/52.52.138.60","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","nosgestesclimat.fr/52.52.138.60","443","INFO","not offered","",""
"cipherlist_STRONG_FS","nosgestesclimat.fr/52.52.138.60","443","OK","offered","",""
"cipher_order-tls1_2","nosgestesclimat.fr/52.52.138.60","443","OK","server","",""
"cipherorder_TLSv1_2","nosgestesclimat.fr/52.52.138.60","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","nosgestesclimat.fr/52.52.138.60","443","OK","server -- TLS 1.3 client determined","",""
"FS","nosgestesclimat.fr/52.52.138.60","443","OK","offered","",""
"FS_ciphers","nosgestesclimat.fr/52.52.138.60","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","nosgestesclimat.fr/52.52.138.60","443","OK","prime256v1","",""
"TLS_extensions","nosgestesclimat.fr/52.52.138.60","443","INFO","'session ticket/#35' 'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","nosgestesclimat.fr/52.52.138.60","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","nosgestesclimat.fr/52.52.138.60","443","INFO","yes","",""
"sessionresumption_ticket","nosgestesclimat.fr/52.52.138.60","443","INFO","not supported","",""
"sessionresumption_ID","nosgestesclimat.fr/52.52.138.60","443","INFO","not supported","",""
"TLS_timestamp","nosgestesclimat.fr/52.52.138.60","443","INFO","random","",""
"certificate_compression","nosgestesclimat.fr/52.52.138.60","443","INFO","none","",""
"clientAuth","nosgestesclimat.fr/52.52.138.60","443","INFO","none","",""
"cert_numbers","nosgestesclimat.fr/52.52.138.60","443","INFO","1","",""
"cert_signatureAlgorithm","nosgestesclimat.fr/52.52.138.60","443","OK","SHA256 with RSA","",""
"cert_keySize","nosgestesclimat.fr/52.52.138.60","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","nosgestesclimat.fr/52.52.138.60","443","INFO","Digital Signature","",""
"cert_extKeyUsage","nosgestesclimat.fr/52.52.138.60","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","nosgestesclimat.fr/52.52.138.60","443","INFO","030692AE8E2E9000FF30D34F8ABDCB2C8D60","",""
"cert_serialNumberLen","nosgestesclimat.fr/52.52.138.60","443","INFO","18","",""
"cert_fingerprintSHA1","nosgestesclimat.fr/52.52.138.60","443","INFO","E524795A0A9C4E02BA7C7C8422F164AFF10DB457","",""
