"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","openacademie.beta.gouv.fr/5.104.101.30","443","OK","not offered","",""
"SSLv3","openacademie.beta.gouv.fr/5.104.101.30","443","OK","not offered","",""
"TLS1","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","openacademie.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"TLS1_3","openacademie.beta.gouv.fr/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","openacademie.beta.gouv.fr/5.104.101.30","443","OK","h2","",""
"ALPN","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","openacademie.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","openacademie.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","openacademie.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","openacademie.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","openacademie.beta.gouv.fr/5.104.101.30","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG","openacademie.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"cipherorder_TLSv1_2","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","openacademie.beta.gouv.fr/5.104.101.30","443","OK","server","",""
"protocol_negotiated","openacademie.beta.gouv.fr/5.104.101.30","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","openacademie.beta.gouv.fr/5.104.101.30","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","openacademie.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"FS_ciphers","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","openacademie.beta.gouv.fr/5.104.101.30","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","yes","",""
"sessionresumption_ticket","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","supported","",""
"sessionresumption_ID","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","not supported","",""
"TLS_timestamp","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","random","",""
"certificate_compression","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","none","",""
"clientAuth","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","none","",""
"cert_numbers","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","1","",""
"cert_signatureAlgorithm","openacademie.beta.gouv.fr/5.104.101.30","443","OK","SHA256 with RSA","",""
"cert_keySize","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","openacademie.beta.gouv.fr/5.104.101.30","443","INFO","Digital Signature, Key Encipherment","",""
