"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","opentermsarchive.org/51.75.169.235","443","INFO","HTTP","",""
"pre_128cipher","opentermsarchive.org/51.75.169.235","443","INFO","No 128 cipher limit bug","",""
"SSLv2","opentermsarchive.org/51.75.169.235","443","OK","not offered","",""
"SSLv3","opentermsarchive.org/51.75.169.235","443","OK","not offered","",""
"TLS1","opentermsarchive.org/51.75.169.235","443","LOW","offered (deprecated)","",""
"TLS1_1","opentermsarchive.org/51.75.169.235","443","LOW","offered (deprecated)","",""
"TLS1_2","opentermsarchive.org/51.75.169.235","443","OK","offered","",""
"TLS1_3","opentermsarchive.org/51.75.169.235","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","opentermsarchive.org/51.75.169.235","443","INFO","http/1.1","",""
"cipherlist_NULL","opentermsarchive.org/51.75.169.235","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","opentermsarchive.org/51.75.169.235","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","opentermsarchive.org/51.75.169.235","443","OK","not offered","","CWE-327"
"cipherlist_LOW","opentermsarchive.org/51.75.169.235","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","opentermsarchive.org/51.75.169.235","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","opentermsarchive.org/51.75.169.235","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","opentermsarchive.org/51.75.169.235","443","OK","offered","",""
"cipherlist_STRONG","opentermsarchive.org/51.75.169.235","443","OK","offered","",""
"cipher_order","opentermsarchive.org/51.75.169.235","443","OK","server","",""
"protocol_negotiated","opentermsarchive.org/51.75.169.235","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","opentermsarchive.org/51.75.169.235","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1","opentermsarchive.org/51.75.169.235","443","INFO","ECDHE-RSA-AES128-SHA","",""
