"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","passculture.pro/199.36.158.100","443","INFO","HTTP","",""
"pre_128cipher","passculture.pro/199.36.158.100","443","INFO","No 128 cipher limit bug","",""
"SSLv2","passculture.pro/199.36.158.100","443","OK","not offered","",""
"SSLv3","passculture.pro/199.36.158.100","443","OK","not offered","",""
"TLS1","passculture.pro/199.36.158.100","443","INFO","not offered","",""
"TLS1_1","passculture.pro/199.36.158.100","443","INFO","not offered","",""
"TLS1_2","passculture.pro/199.36.158.100","443","OK","offered","",""
"TLS1_3","passculture.pro/199.36.158.100","443","OK","offered with final","",""
"ALPN_HTTP2","passculture.pro/199.36.158.100","443","OK","h2","",""
"ALPN","passculture.pro/199.36.158.100","443","INFO","http/1.1","",""
"cipherlist_NULL","passculture.pro/199.36.158.100","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","passculture.pro/199.36.158.100","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","passculture.pro/199.36.158.100","443","OK","not offered","","CWE-327"
"cipherlist_LOW","passculture.pro/199.36.158.100","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","passculture.pro/199.36.158.100","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","passculture.pro/199.36.158.100","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","passculture.pro/199.36.158.100","443","OK","offered","",""
"cipherlist_STRONG_FS","passculture.pro/199.36.158.100","443","OK","offered","",""
"cipher_order-tls1_2","passculture.pro/199.36.158.100","443","OK","server","",""
"cipherorder_TLSv1_2","passculture.pro/199.36.158.100","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","passculture.pro/199.36.158.100","443","OK","server -- TLS 1.3 client determined","",""
"FS","passculture.pro/199.36.158.100","443","OK","offered","",""
"FS_ciphers","passculture.pro/199.36.158.100","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","passculture.pro/199.36.158.100","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","passculture.pro/199.36.158.100","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","passculture.pro/199.36.158.100","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","passculture.pro/199.36.158.100","443","INFO","yes","",""
"sessionresumption_ticket","passculture.pro/199.36.158.100","443","INFO","supported","",""
"sessionresumption_ID","passculture.pro/199.36.158.100","443","INFO","not supported","",""
"TLS_timestamp","passculture.pro/199.36.158.100","443","INFO","random","",""
"certificate_compression","passculture.pro/199.36.158.100","443","INFO","none","",""
"clientAuth","passculture.pro/199.36.158.100","443","INFO","none","",""
"cert_numbers","passculture.pro/199.36.158.100","443","INFO","1","",""
"cert_signatureAlgorithm","passculture.pro/199.36.158.100","443","OK","SHA256 with RSA","",""
