"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","HTTP","",""
"pre_128cipher","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","OK","not offered","",""
"SSLv3","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","OK","not offered","",""
"TLS1","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"TLS1_1","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"TLS1_2","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","OK","offered","",""
"TLS1_3","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","OK","offered with final","",""
"ALPN_HTTP2","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","OK","h2","",""
"ALPN","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","http/1.1","",""
"cipherlist_NULL","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"cipherlist_STRONG","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","OK","offered","",""
"cipher_order","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","OK","server","",""
"protocol_negotiated","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","OK","offered","",""
"FS_ciphers","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","yes","",""
"sessionresumption_ticket","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","not supported","",""
"sessionresumption_ID","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","not supported","",""
"TLS_timestamp","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","random","",""
"certificate_compression","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","none","",""
"clientAuth","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","none","",""
"cert_numbers","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","1","",""
"cert_signatureAlgorithm","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","OK","SHA256 with RSA","",""
"cert_keySize","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","0311C81896F462C3BB2C4FA7175FA6D5DD6F","",""
"cert_serialNumberLen","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","18","",""
"cert_fingerprintSHA1","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","B0D055472D70BAE690E9056FC34A09D066E9971E","",""
"cert_fingerprintSHA256","pdf.dora.fabrique.social.gouv.fr/148.253.96.193","443","INFO","ABE5A577EC65606337B585D0279DF5824812EAA4C9E1CA3B35231508434D0B4C","",""
