"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","HTTP","",""
"pre_128cipher","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","not offered","",""
"SSLv3","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","not offered","",""
"TLS1","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","LOW","offered (deprecated)","",""
"TLS1_1","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","LOW","offered (deprecated)","",""
"TLS1_2","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","offered","",""
"TLS1_3","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","offered with final","",""
"ALPN_HTTP2","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","h2","",""
"ALPN","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","http/1.1grpc-exp","",""
"cipherlist_NULL","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","MEDIUM","offered","","CWE-310"
"cipherlist_AVERAGE","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","offered","",""
"cipherlist_STRONG","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","offered","",""
"cipher_order","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","server -- TLS 1.3 client determined","",""
"protocol_negotiated","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_1","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_2","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","offered","",""
"FS_ciphers","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","prime256v1","",""
"TLS_extensions","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'next protocol/#13172' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","yes","",""
"sessionresumption_ticket","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","not supported","",""
"sessionresumption_ID","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","supported","",""
"TLS_timestamp","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","off by -1 seconds from your localtime","",""
"clientAuth","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","none","",""
"cert_numbers","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","1","",""
"cert_signatureAlgorithm","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","OK","SHA256 with RSA","",""
"cert_keySize","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","AD7C915914CCE2E6090000000062B4FE","",""
"cert_fingerprintSHA1","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","B0339BC6FE106BB395CEABCB9CE0EFB0264BED15","",""
"cert_fingerprintSHA256","pilotage.inclusion.beta.gouv.fr/172.217.1.147","443","INFO","EB5AAF2AB2B6C49325F1A52A5D22FD5061D485FBA089E26241B0A9F1866AC3D0","",""
