"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","HTTP","",""
"pre_128cipher","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","not offered","",""
"SSLv3","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","not offered","",""
"TLS1","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","not offered","",""
"TLS1_1","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","not offered","",""
"TLS1_2","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","offered","",""
"TLS1_3","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","offered with final","",""
"ALPN_HTTP2","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","h2","",""
"ALPN","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","http/1.1","",""
"cipherlist_NULL","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","offered","",""
"cipherlist_STRONG_FS","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","offered","",""
"cipher_order-tls1_2","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","server","",""
"cipherorder_TLSv1_2","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","server -- TLS 1.3 client determined","",""
"FS","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","offered","",""
"FS_ciphers","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","yes","",""
"sessionresumption_ticket","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","supported","",""
"sessionresumption_ID","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","not supported","",""
"TLS_timestamp","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","random","",""
"certificate_compression","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","none","",""
"clientAuth","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","none","",""
"cert_numbers","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","1","",""
"cert_signatureAlgorithm","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","SHA256 with RSA","",""
"cert_keySize","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","04A0F35395A2712D2814427FD5145D7F1487","",""
"cert_serialNumberLen","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","18","",""
"cert_fingerprintSHA1","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","B7E38C7D40EE3D20C535248E047029E1B6C8C72C","",""
"cert_fingerprintSHA256","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","45D9C8237EEE2E24993E98A9DC2AA25FF5835719B553874F11A75AD01B8406AB","",""
"cert","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFDDCCA/SgAwIBAgISBKDzU5WicS0oFEJ/1RRdfxSHMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzA4MTcxMzA4MzFaFw0yMzExMTUxMzA4MzBaMCoxKDAmBgNVBAMTH3BpbG90YWdlLmluY2x1c2lvbi5iZXRhLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCrxxsM7cYB+Oqps88IF0+iy3w0xGYS5u/zmBd5yWXuZkwfmpJ9M+4H+i4VYve08x/VTy6xZ6hJQr/jzJq3MEbCaPUoqWRpb0xLZCTJ3O1Gn6Qfwu9vNtC8aSe44tYYcEAstPXuj/cNjG4Dkudd1j68u8lbKBCgWvY39eGeFSNybo5pAQmkjKTJ19sFAZBIS5AgjDh6CmB0eRgmMI5gCxe5JKCA3z8UANMJ5zRHNWN8VNKgneFX0csT0zwwJJeO6jQAn8xsDGr3VLxeYNxGMcIJ3tnD42MejxzFkJDo2oa+ffHDHxqGaZsL4LIMRwjIklkrZi/6oTihLxBl9pf9FoczAgMBAAGjggIiMIICHjAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFGNOFYVWWqSUAsIWQqSll5o4AleXMB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMCoGA1UdEQQjMCGCH3BpbG90YWdlLmluY2x1c2lvbi5iZXRhLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwggEFBgorBgEEAdZ5AgQCBIH2BIHzAPEAdwB6MoxU2LcttiDqOOBSHumEFnAyE4VNO9IrwTpXo1LrUgAAAYoD05GPAAAEAwBIMEYCIQD3gEUgx7MmyALJPnJBi8MMHDgNnHVGNdcareLIu37NkwIhANLon1+lj+WRtZ+vrj/vvMxtdbh/1CBJIVhmxQaCnEUSAHYA6D7Q2j71BjUy51covIlryQPTy9ERa+zraeF3fW0GvW4AAAGKA9ORcAAABAMARzBFAiEAvU+S9x8+exkJxSC66o1DWNFne8oj5klOyyltI05UVnMCIC+M7lkaZxkqJ5tefnKpo2dvTcHJNGwMoUS6txcktatqMA0GCSqGSIb3DQEBCwUAA4IBAQAdxT3ROf7iXdb7bON2luECbAYT8qs5sN6xnMAqXRyjGZ4Unwr90Pc6HUHYBuFst/vlqD+ghxssVww/NPdQHkfrUF4++UiB5Q5bMmB8w4gQoOvmfiIsNffFP3whJcAV5nH7wFcNu1qaZ34yiD9Qo6qqZ8mPJTynjArizo1cUEfJAYYnzT781ZAhu5fNm9sCcTgq5AkQLg2ZmAGBr3B1GFTB5nAfI2nfAfpo/su/IczwG93y8kKeK+2DqvBKYTMXZFEuknN+fRd8QLqOu8QHt3+5tMqEnZlAlRyr7JtVhwbULiAiBpwmkJ2s4NWlPFrRGQSD1iG/RNKUCJUhHGPREb6B\n-----END CERTIFICATE-----","",""
"cert_commonName","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","pilotage.inclusion.beta.gouv.fr","",""
"cert_commonName_wo_SNI","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","*.github.io","",""
"cert_subjectAltName","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","pilotage.inclusion.beta.gouv.fr","",""
"cert_trust","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","passed.","",""
"cert_certificatePolicies_EV","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","no","",""
"cert_expirationStatus","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","52 >= 30 days","",""
"cert_notBefore","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","2023-08-17 13:08","",""
"cert_notAfter","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","2023-11-15 13:08","",""
"cert_extlifeSpan","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","not present","",""
"cert_crlDistributionPoints","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","--","",""
"cert_ocspURL","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","offered","",""
"cert_ocspRevoked","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","not revoked","",""
"cert_mustStapleExtension","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","--","",""
"DNS_CAArecord","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","LOW","--","",""
"certificate_transparency","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","OK","yes (certificate extension)","",""
"certs_countServer","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","3","",""
"certs_list_ordering_problem","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","no","",""
"cert_caIssuers","pilotage.inclusion.beta.gouv.fr/185.199.110.153","443","INFO","R3 (Let's Encrypt from US)","",""
