"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pix.fr/185.231.167.141","443","INFO","HTTP","",""
"pre_128cipher","pix.fr/185.231.167.141","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pix.fr/185.231.167.141","443","OK","not offered","",""
"SSLv3","pix.fr/185.231.167.141","443","OK","not offered","",""
"TLS1","pix.fr/185.231.167.141","443","INFO","not offered","",""
"TLS1_1","pix.fr/185.231.167.141","443","INFO","not offered","",""
"TLS1_2","pix.fr/185.231.167.141","443","OK","offered","",""
"TLS1_3","pix.fr/185.231.167.141","443","OK","offered with final","",""
"ALPN_HTTP2","pix.fr/185.231.167.141","443","OK","h2","",""
"ALPN","pix.fr/185.231.167.141","443","INFO","http/1.1","",""
"cipherlist_NULL","pix.fr/185.231.167.141","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pix.fr/185.231.167.141","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pix.fr/185.231.167.141","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pix.fr/185.231.167.141","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pix.fr/185.231.167.141","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pix.fr/185.231.167.141","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","pix.fr/185.231.167.141","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pix.fr/185.231.167.141","443","OK","offered","",""
"cipher_order-tls1_2","pix.fr/185.231.167.141","443","OK","server","",""
"cipherorder_TLSv1_2","pix.fr/185.231.167.141","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","pix.fr/185.231.167.141","443","OK","server","",""
"FS","pix.fr/185.231.167.141","443","OK","offered","",""
"FS_ciphers","pix.fr/185.231.167.141","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","pix.fr/185.231.167.141","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","pix.fr/185.231.167.141","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","pix.fr/185.231.167.141","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","pix.fr/185.231.167.141","443","INFO","yes","",""
"sessionresumption_ticket","pix.fr/185.231.167.141","443","INFO","not supported","",""
"sessionresumption_ID","pix.fr/185.231.167.141","443","INFO","not supported","",""
"TLS_timestamp","pix.fr/185.231.167.141","443","INFO","random","",""
"certificate_compression","pix.fr/185.231.167.141","443","INFO","none","",""
"clientAuth","pix.fr/185.231.167.141","443","INFO","none","",""
"cert_numbers","pix.fr/185.231.167.141","443","INFO","1","",""
"cert_signatureAlgorithm","pix.fr/185.231.167.141","443","OK","SHA256 with RSA","",""
"cert_keySize","pix.fr/185.231.167.141","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","pix.fr/185.231.167.141","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","pix.fr/185.231.167.141","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","pix.fr/185.231.167.141","443","INFO","03AA7ABD996D67CABE6679D8AF681A04CEFC","",""
"cert_serialNumberLen","pix.fr/185.231.167.141","443","INFO","18","",""
"cert_fingerprintSHA1","pix.fr/185.231.167.141","443","INFO","3CD16DA3C3D85C045E8C7DBBD455AA63E07BBCD7","",""
"cert_fingerprintSHA256","pix.fr/185.231.167.141","443","INFO","0A56FACFFA74D0B7B8BC4DA3FBD6A1E888FD2FF42F3A47A9B0D13FB5E2FF6C35","",""
"cert","pix.fr/185.231.167.141","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE9zCCA9+gAwIBAgISA6p6vZltZ8q+ZnnYr2gaBM78MA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzA5MjUxMjMwMTFaFw0yMzEyMjQxMjMwMTBaMBExDzANBgNVBAMTBnBpeC5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAML80byaoyvwiWlQ8FSEBAoZOR7BZ6o+OWPNpWlHGU1gqQSjXnw3LYsfZc89+GjSha6iopoc2OdHGtwMKdDFVId4P83t+HMGypArkjLyCsVpCU5L3a+Nxoi9/6qqSSXJJaXQGA0/D0Vsz7VuE234fwfxp5dXm8ukhN6MatS5C39xsU2WVdXn6VGwafWWQOnHTE8Dar/b+lSeDbshq2bigG28ZzD2hV96Yl675g2Xn9JGiYpJe8STU5um/7hSvU5NlcifXifw1b6Z9P2CF9HIHpb4YI3pfduRUUUL9B0sFkVwngQaymZcFvX2/V/UccILxjo5FeyFm3OvS9+NWtN70eMCAwEAAaOCAiYwggIiMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUcYvdDNvppZtchJxzXBYkhyR2y7QwHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wLwYDVR0RBCgwJoIIKi5waXguZnKCCSoucGl4Lm9yZ4IGcGl4LmZyggdwaXgub3JnMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBAYKKwYBBAHWeQIEAgSB9QSB8gDwAHYAejKMVNi3LbYg6jjgUh7phBZwMhOFTTvSK8E6V6NS61IAAAGKzIh+2wAABAMARzBFAiABpxuNxXkByAP3Px3Uq7f3pWIzR48vXxSDM8LoXP6D5wIhAPkhMnSF/OviZvVvdYnRVlmnVKYRmYblUVkDKY2ArDzDAHYAtz77JN+cTbp18jnFulj0bF38Qs96nzXEnh0JgSXttJkAAAGKzIh+1AAABAMARzBFAiAFojhMiy9QmwGQytgnMI16LuJEfjuo0qF+1UwpQ/rpWgIhAPifelIZEtkTBI9TI7QUomyDCuOfyPt6vvLVOq6RtwNkMA0GCSqGSIb3DQEBCwUAA4IBAQAgD5x7i48UCdukIilkZHKAJi+Da0LxW9hJhUsFfYnghoXD/+FyYWaV3UiHAIO0LopWBmJuTtw+tik3LuoxqJvqaQaMyQWpOwqMxVAAEdpwB3ae427EPHt9qo8HAgOQoVIAsKG3eydKyPUBoBsPwQKrQxeBpfPAcCSmMM0EzYb/6tWxGiNngAis1hgsZrM/hhtiPdA4Ygprgo2itLBxwGB+T4drQTVUsMGS0qv5JepHRuMgGo5eEGnBlqPKfz88VKub6eeOudmYX6Z7KIL4YZzwFWMGXeKuKCmRG+elBU5Dsty7Akp+Ib+phiOced14pWc9pasqfDr+4LxThW8a89Q0\n-----END CERTIFICATE-----","",""
"cert_commonName","pix.fr/185.231.167.141","443","OK","pix.fr","",""
"cert_commonName_wo_SNI","pix.fr/185.231.167.141","443","INFO","pix.fr","",""
"cert_subjectAltName","pix.fr/185.231.167.141","443","INFO","*.pix.fr *.pix.org pix.fr pix.org","",""
"cert_trust","pix.fr/185.231.167.141","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","pix.fr/185.231.167.141","443","OK","passed.","",""
"cert_certificatePolicies_EV","pix.fr/185.231.167.141","443","INFO","no","",""
"cert_expirationStatus","pix.fr/185.231.167.141","443","MEDIUM","expires < 30 days (28)","",""
"cert_notBefore","pix.fr/185.231.167.141","443","INFO","2023-09-25 12:30","",""
"cert_notAfter","pix.fr/185.231.167.141","443","MEDIUM","2023-12-24 12:30","",""
"cert_extlifeSpan","pix.fr/185.231.167.141","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","pix.fr/185.231.167.141","443","INFO","not present","",""
"cert_crlDistributionPoints","pix.fr/185.231.167.141","443","INFO","--","",""
"cert_ocspURL","pix.fr/185.231.167.141","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","pix.fr/185.231.167.141","443","OK","offered","",""
"cert_ocspRevoked","pix.fr/185.231.167.141","443","OK","not revoked","",""
"cert_mustStapleExtension","pix.fr/185.231.167.141","443","INFO","--","",""
"DNS_CAArecord","pix.fr/185.231.167.141","443","OK","iodef=mailto:security@pix.fr, issue=amazontrust.com, issue=certigna.fr, issue=letsencrypt.org, issue=sectigo.com, issuewild=letsencrypt.org","",""
"certificate_transparency","pix.fr/185.231.167.141","443","OK","yes (certificate extension)","",""
"certs_countServer","pix.fr/185.231.167.141","443","INFO","2","",""
"certs_list_ordering_problem","pix.fr/185.231.167.141","443","INFO","no","",""
"cert_caIssuers","pix.fr/185.231.167.141","443","INFO","R3 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","pix.fr/185.231.167.141","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFFjCCAv6gAwIBAgIRAJErCErPDBinU/bWLiWnX1owDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjAwOTA0MDAwMDAwWhcNMjUwOTE1MTYwMDAwWjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3MgRW5jcnlwdDELMAkGA1UEAxMCUjMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC7AhUozPaglNMPEuyNVZLD+ILxmaZ6QoinXSaqtSu5xUyxr45r+XXIo9cPR5QUVTVXjJ6oojkZ9YI8QqlObvU7wy7bjcCwXPNZOOftz2nwWgsbvsCUJCWH+jdxsxPnHKzhm+/b5DtFUkWWqcFTzjTIUu61ru2P3mBw4qVUq7ZtDpelQDRrK9O8ZutmNHz6a4uPVymZ+DAXXbpyb/uBxa3Shlg9F8fnCbvxK/eG3MHacV3URuPMrSXBiLxgZ3Vms/EY96Jc5lP/Ooi2R6X/ExjqmAl3P51T+c8B5fWmcBcUr2Ok/5mzk53cU6cG/kiFHaFpriV1uxPMUgP17VGhi9sVAgMBAAGjggEIMIIBBDAOBgNVHQ8BAf8EBAMCAYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFBQusxe3WFbLrlAJQOYfr52LFMLGMB8GA1UdIwQYMBaAFHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veDEuYy5sZW5jci5vcmcvMCIGA1UdIAQbMBkwCAYGZ4EMAQIBMA0GCysGAQQBgt8TAQEBMA0GCSqGSIb3DQEBCwUAA4ICAQCFyk5HPqP3hUSFvNVneLKYY611TR6WPTNlclQtgaDqw+34IL9fzLdwALduO/ZelN7kIJ+m74uyA+eitRY8kc607TkC53wlikfmZW4/RvTZ8M6UK+5UzhK8jCdLuMGYL6KvzXGRSgi3yLgjewQtCPkIVz6D2QQzCkcheAmCJ8MqyJu5zlzyZMjAvnnAT45tRAxekrsu94sQ4egdRCnbWSDtY7kh+BImlJNXoB1lBMEKIq4QDUOXoRgffuDghje1WrG9ML+Hbisq/yFOGwXD9RiX8F6sw6W4avAuvDszue5L3sz85K+EC4Y/wFVDNvZo4TYXao6Z0f+lQKc0t8DQYzk1OXVu8rp2yJMC6alLbBfODALZvYH7n7do1AZls4I9d1P4jnkDrQoxB3UqQ9hVl3LEKQ73xF1OyK5GhDDX8oVfGKF5u+decIsH4YaTw7mP3GFxJSqv3+0lUFJoi5Lc5da149p90IdshCExroL1+7mryIkXPeFM5TgO9r0rvZaBFOvV2z0gp35Z0+L4WPlbuEjN/lxPFin+HlUjr8gRsI3qfJOQFy/9rKIJR0Y/8Omwt/8oTWgy1mdeHmmjk7j1nYsvC9JSQ6ZvMldlTTKB3zhThV1+XWYp6rjd5JW1zbVWEkLNxE7GJThEUG3szgBVGP7pSWTUTsqXnLRbwHOoq7hHwg==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","pix.fr/185.231.167.141","443","INFO","67ADD1166B020AE61B8F5FC96813C04C2AA589960796865572A3C7E737613DFD","",""
"intermediate_cert_notBefore <#1>","pix.fr/185.231.167.141","443","INFO","2020-09-04 00:00","",""
"intermediate_cert_notAfter <#1>","pix.fr/185.231.167.141","443","OK","2025-09-15 16:00","",""
"intermediate_cert_expiration <#1>","pix.fr/185.231.167.141","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","pix.fr/185.231.167.141","443","INFO","R3 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","pix.fr/185.231.167.141","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","pix.fr/185.231.167.141","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","pix.fr/185.231.167.141","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","pix.fr/185.231.167.141","443","INFO","1700987412","",""
"HSTS_time","pix.fr/185.231.167.141","443","OK","730 days (=63072000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","pix.fr/185.231.167.141","443","INFO","only for this domain","",""
"HSTS_preload","pix.fr/185.231.167.141","443","INFO","domain is NOT marked for preloading","",""
"HPKP","pix.fr/185.231.167.141","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","pix.fr/185.231.167.141","443","INFO","No Server banner line in header, interesting!","",""
"banner_application","pix.fr/185.231.167.141","443","INFO","No application banner found","",""
"cookie_count","pix.fr/185.231.167.141","443","INFO","0 at '/'","",""
"X-Frame-Options","pix.fr/185.231.167.141","443","OK","DENY","",""
"X-Content-Type-Options","pix.fr/185.231.167.141","443","OK","nosniff","",""
"X-XSS-Protection","pix.fr/185.231.167.141","443","INFO","1; mode=block","",""
"Referrer-Policy","pix.fr/185.231.167.141","443","INFO","no-referrer","",""
"Cache-Control","pix.fr/185.231.167.141","443","INFO","no-cache","",""
"banner_reverseproxy","pix.fr/185.231.167.141","443","INFO","--","","CWE-200"
"heartbleed","pix.fr/185.231.167.141","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","pix.fr/185.231.167.141","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","pix.fr/185.231.167.141","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","pix.fr/185.231.167.141","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","pix.fr/185.231.167.141","443","OK","supported","","CWE-310"
"secure_client_renego","pix.fr/185.231.167.141","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","pix.fr/185.231.167.141","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","pix.fr/185.231.167.141","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","pix.fr/185.231.167.141","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","pix.fr/185.231.167.141","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","pix.fr/185.231.167.141","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","pix.fr/185.231.167.141","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","pix.fr/185.231.167.141","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","pix.fr/185.231.167.141","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=0A56FACFFA74D0B7B8BC4DA3FBD6A1E888FD2FF42F3A47A9B0D13FB5E2FF6C35","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","pix.fr/185.231.167.141","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","pix.fr/185.231.167.141","443","OK","--","CVE-2015-4000","CWE-310"
"BEAST","pix.fr/185.231.167.141","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","pix.fr/185.231.167.141","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","pix.fr/185.231.167.141","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","pix.fr/185.231.167.141","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_X","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_11","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_12","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_79_win10","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_101_win10","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_66_win81","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_100_win10","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-ie_6_xp","pix.fr/185.231.167.141","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","pix.fr/185.231.167.141","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","pix.fr/185.231.167.141","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA256","",""
"clientsimulation-ie_11_win81","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA256","",""
"clientsimulation-ie_11_winphone81","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA256","",""
"clientsimulation-ie_11_win10","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_121_ios_122","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_130_osx_10146","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_154_osx_1231","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_7u25","pix.fr/185.231.167.141","443","INFO","No connection","",""
"clientsimulation-java_8u161","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java1102","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java1703","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-libressl_283","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_102e","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_110l","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_111d","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_303","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"rating_spec","pix.fr/185.231.167.141","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","pix.fr/185.231.167.141","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","pix.fr/185.231.167.141","443","INFO","100","",""
"protocol_support_score_weighted","pix.fr/185.231.167.141","443","INFO","30","",""
"key_exchange_score","pix.fr/185.231.167.141","443","INFO","90","",""
"key_exchange_score_weighted","pix.fr/185.231.167.141","443","INFO","27","",""
"cipher_strength_score","pix.fr/185.231.167.141","443","INFO","60","",""
"cipher_strength_score_weighted","pix.fr/185.231.167.141","443","INFO","24","",""
"final_score","pix.fr/185.231.167.141","443","INFO","81","",""
"overall_grade","pix.fr/185.231.167.141","443","OK","A+","",""
