"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pro.passculture.beta.gouv.fr/52.203.36.44","443","INFO","HTTP","",""
"pre_128cipher","pro.passculture.beta.gouv.fr/52.203.36.44","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pro.passculture.beta.gouv.fr/52.203.36.44","443","OK","not offered","",""
"SSLv3","pro.passculture.beta.gouv.fr/52.203.36.44","443","OK","not offered","",""
"TLS1","pro.passculture.beta.gouv.fr/52.203.36.44","443","INFO","not offered","",""
"TLS1_1","pro.passculture.beta.gouv.fr/52.203.36.44","443","INFO","not offered","",""
"TLS1_2","pro.passculture.beta.gouv.fr/52.203.36.44","443","OK","offered","",""
"TLS1_3","pro.passculture.beta.gouv.fr/52.203.36.44","443","OK","offered with final","",""
"ALPN_HTTP2","pro.passculture.beta.gouv.fr/52.203.36.44","443","OK","h2","",""
"ALPN","pro.passculture.beta.gouv.fr/52.203.36.44","443","INFO","http/1.1","",""
"cipherlist_NULL","pro.passculture.beta.gouv.fr/52.203.36.44","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pro.passculture.beta.gouv.fr/52.203.36.44","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pro.passculture.beta.gouv.fr/52.203.36.44","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pro.passculture.beta.gouv.fr/52.203.36.44","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pro.passculture.beta.gouv.fr/52.203.36.44","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","pro.passculture.beta.gouv.fr/52.203.36.44","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","pro.passculture.beta.gouv.fr/52.203.36.44","443","INFO","not offered","",""
"cipherlist_STRONG","pro.passculture.beta.gouv.fr/52.203.36.44","443","OK","offered","",""
"cipher_order","pro.passculture.beta.gouv.fr/52.203.36.44","443","OK","server","",""
"protocol_negotiated","pro.passculture.beta.gouv.fr/52.203.36.44","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","pro.passculture.beta.gouv.fr/52.203.36.44","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","pro.passculture.beta.gouv.fr/52.203.36.44","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","pro.passculture.beta.gouv.fr/52.203.36.44","443","OK","offered","",""
"FS_ciphers","pro.passculture.beta.gouv.fr/52.203.36.44","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","pro.passculture.beta.gouv.fr/52.203.36.44","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","pro.passculture.beta.gouv.fr/52.203.36.44","443","INFO","'server name/#0' 'renegotiation info/#65281' 'key share/#51' 'supported versions/#43' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","pro.passculture.beta.gouv.fr/52.203.36.44","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","pro.passculture.beta.gouv.fr/52.203.36.44","443","INFO","yes","",""
"sessionresumption_ticket","pro.passculture.beta.gouv.fr/52.203.36.44","443","INFO","not supported","",""
