"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","HTTP","",""
"pre_128cipher","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","not offered","",""
"SSLv3","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","not offered","",""
"TLS1","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","not offered","",""
"TLS1_1","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","not offered","",""
"TLS1_2","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","offered","",""
"TLS1_3","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","offered with final","",""
"ALPN_HTTP2","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","h2","",""
"ALPN","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","http/1.1grpc-exp","",""
"cipherlist_NULL","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pro.passculture.beta.gouv.fr/34.117.139.121","443","MEDIUM","offered","","CWE-310"
"cipherlist_AVERAGE","pro.passculture.beta.gouv.fr/34.117.139.121","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","offered","",""
"cipherlist_STRONG","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","offered","",""
"cipher_order","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","server -- TLS 1.3 client determined","",""
"protocol_negotiated","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","offered","",""
"FS_ciphers","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","prime256v1","",""
"TLS_extensions","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","yes","",""
"sessionresumption_ticket","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","supported","",""
"sessionresumption_ID","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","not supported","",""
"TLS_timestamp","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","off by -3 seconds from your localtime","",""
"certificate_compression","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","none","",""
"clientAuth","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","none","",""
"cert_numbers","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","1","",""
"cert_signatureAlgorithm","pro.passculture.beta.gouv.fr/34.117.139.121","443","OK","SHA256 with RSA","",""
"cert_keySize","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","7BAE67B24E17E4390900000001048789","",""
"cert_serialNumberLen","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","16","",""
"cert_fingerprintSHA1","pro.passculture.beta.gouv.fr/34.117.139.121","443","INFO","01AA403E77BD5CA4B6F06670CB9A4D5B0FE570C9","",""
