"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","recosante.beta.gouv.fr/46.252.181.104","443","INFO","HTTP","",""
"pre_128cipher","recosante.beta.gouv.fr/46.252.181.104","443","INFO","No 128 cipher limit bug","",""
"SSLv2","recosante.beta.gouv.fr/46.252.181.104","443","OK","not offered","",""
"SSLv3","recosante.beta.gouv.fr/46.252.181.104","443","OK","not offered","",""
"TLS1","recosante.beta.gouv.fr/46.252.181.104","443","LOW","offered (deprecated)","",""
"TLS1_1","recosante.beta.gouv.fr/46.252.181.104","443","LOW","offered (deprecated)","",""
"TLS1_2","recosante.beta.gouv.fr/46.252.181.104","443","OK","offered","",""
"TLS1_3","recosante.beta.gouv.fr/46.252.181.104","443","OK","offered with final","",""
"ALPN","recosante.beta.gouv.fr/46.252.181.104","443","INFO","not offered","",""
"cipherlist_NULL","recosante.beta.gouv.fr/46.252.181.104","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","recosante.beta.gouv.fr/46.252.181.104","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","recosante.beta.gouv.fr/46.252.181.104","443","OK","not offered","","CWE-327"
"cipherlist_LOW","recosante.beta.gouv.fr/46.252.181.104","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","recosante.beta.gouv.fr/46.252.181.104","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","recosante.beta.gouv.fr/46.252.181.104","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","recosante.beta.gouv.fr/46.252.181.104","443","OK","offered","",""
"cipherlist_STRONG","recosante.beta.gouv.fr/46.252.181.104","443","OK","offered","",""
"cipher_order","recosante.beta.gouv.fr/46.252.181.104","443","OK","server","",""
"protocol_negotiated","recosante.beta.gouv.fr/46.252.181.104","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","recosante.beta.gouv.fr/46.252.181.104","443","OK","TLS_AES_256_GCM_SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1","recosante.beta.gouv.fr/46.252.181.104","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_1","recosante.beta.gouv.fr/46.252.181.104","443","INFO","ECDHE-RSA-AES128-SHA","",""
