"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","recosante.beta.gouv.fr/151.101.122.22","443","INFO","HTTP","",""
"pre_128cipher","recosante.beta.gouv.fr/151.101.122.22","443","INFO","No 128 cipher limit bug","",""
"SSLv2","recosante.beta.gouv.fr/151.101.122.22","443","OK","not offered","",""
"SSLv3","recosante.beta.gouv.fr/151.101.122.22","443","OK","not offered","",""
"TLS1","recosante.beta.gouv.fr/151.101.122.22","443","INFO","not offered","",""
"TLS1_1","recosante.beta.gouv.fr/151.101.122.22","443","INFO","not offered","",""
"TLS1_2","recosante.beta.gouv.fr/151.101.122.22","443","OK","offered","",""
"TLS1_3","recosante.beta.gouv.fr/151.101.122.22","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","recosante.beta.gouv.fr/151.101.122.22","443","OK","h2","",""
"ALPN","recosante.beta.gouv.fr/151.101.122.22","443","INFO","http/1.1","",""
"cipherlist_NULL","recosante.beta.gouv.fr/151.101.122.22","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","recosante.beta.gouv.fr/151.101.122.22","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","recosante.beta.gouv.fr/151.101.122.22","443","OK","not offered","","CWE-327"
"cipherlist_LOW","recosante.beta.gouv.fr/151.101.122.22","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","recosante.beta.gouv.fr/151.101.122.22","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","recosante.beta.gouv.fr/151.101.122.22","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","recosante.beta.gouv.fr/151.101.122.22","443","INFO","not offered","",""
"cipherlist_STRONG","recosante.beta.gouv.fr/151.101.122.22","443","OK","offered","",""
"cipher_order","recosante.beta.gouv.fr/151.101.122.22","443","OK","server","",""
"protocol_negotiated","recosante.beta.gouv.fr/151.101.122.22","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","recosante.beta.gouv.fr/151.101.122.22","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","recosante.beta.gouv.fr/151.101.122.22","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","recosante.beta.gouv.fr/151.101.122.22","443","OK","offered","",""
"FS_ciphers","recosante.beta.gouv.fr/151.101.122.22","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","recosante.beta.gouv.fr/151.101.122.22","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","recosante.beta.gouv.fr/151.101.122.22","443","INFO","'renegotiation info/#65281' 'server name/#0' 'max fragment length/#1' 'EC point formats/#11' 'session ticket/#35' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","recosante.beta.gouv.fr/151.101.122.22","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","recosante.beta.gouv.fr/151.101.122.22","443","INFO","yes","",""
"sessionresumption_ticket","recosante.beta.gouv.fr/151.101.122.22","443","INFO","supported","",""
"sessionresumption_ID","recosante.beta.gouv.fr/151.101.122.22","443","INFO","supported","",""
"TLS_timestamp","recosante.beta.gouv.fr/151.101.122.22","443","INFO","random","",""
"cert_compression","recosante.beta.gouv.fr/151.101.122.22","443","INFO","N/A","",""
"clientAuth","recosante.beta.gouv.fr/151.101.122.22","443","INFO","none","",""
"scanProblem","recosante.beta.gouv.fr/151.101.122.22","443","WARN","Client problem, shouldn't happen: Host certificate found but we can't continue with 'server defaults'.","",""
"cert_numbers","recosante.beta.gouv.fr/151.101.122.22","443","INFO","0","",""
"HTTP_status_code","recosante.beta.gouv.fr/151.101.122.22","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","recosante.beta.gouv.fr/151.101.122.22","443","INFO","-1 seconds from localtime","",""
"HSTS","recosante.beta.gouv.fr/151.101.122.22","443","LOW","not offered","",""
"HPKP","recosante.beta.gouv.fr/151.101.122.22","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","recosante.beta.gouv.fr/151.101.122.22","443","INFO","GatsbyHosting","",""
"banner_application","recosante.beta.gouv.fr/151.101.122.22","443","INFO","No application banner found","",""
"cookie_count","recosante.beta.gouv.fr/151.101.122.22","443","INFO","0 at '/'","",""
"X-Served-By","recosante.beta.gouv.fr/151.101.122.22","443","INFO","cache-cdg20745-CDG","",""
"Cache-Control","recosante.beta.gouv.fr/151.101.122.22","443","INFO","public, max-age=0, must-revalidate","",""
"banner_reverseproxy","recosante.beta.gouv.fr/151.101.122.22","443","INFO","Via: 1.1 varnishX-Cache: HITX-Cache-Hits: 1","","CWE-200"
"heartbleed","recosante.beta.gouv.fr/151.101.122.22","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","recosante.beta.gouv.fr/151.101.122.22","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","recosante.beta.gouv.fr/151.101.122.22","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","recosante.beta.gouv.fr/151.101.122.22","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","recosante.beta.gouv.fr/151.101.122.22","443","OK","supported","","CWE-310"
"secure_client_renego","recosante.beta.gouv.fr/151.101.122.22","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","recosante.beta.gouv.fr/151.101.122.22","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","recosante.beta.gouv.fr/151.101.122.22","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","recosante.beta.gouv.fr/151.101.122.22","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","recosante.beta.gouv.fr/151.101.122.22","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","recosante.beta.gouv.fr/151.101.122.22","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","recosante.beta.gouv.fr/151.101.122.22","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","recosante.beta.gouv.fr/151.101.122.22","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","recosante.beta.gouv.fr/151.101.122.22","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=3890783187C370CBA782A96928B36755DE4EC23AD4F0789DE91F9F23983BB5DE","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","recosante.beta.gouv.fr/151.101.122.22","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","recosante.beta.gouv.fr/151.101.122.22","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","recosante.beta.gouv.fr/151.101.122.22","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","recosante.beta.gouv.fr/151.101.122.22","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","recosante.beta.gouv.fr/151.101.122.22","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","recosante.beta.gouv.fr/151.101.122.22","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_442","recosante.beta.gouv.fr/151.101.122.22","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_500","recosante.beta.gouv.fr/151.101.122.22","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_60","recosante.beta.gouv.fr/151.101.122.22","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","recosante.beta.gouv.fr/151.101.122.22","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","recosante.beta.gouv.fr/151.101.122.22","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","recosante.beta.gouv.fr/151.101.122.22","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_X","recosante.beta.gouv.fr/151.101.122.22","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-chrome_74_win10","recosante.beta.gouv.fr/151.101.122.22","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
