"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","secretariat.incubateur.net/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","secretariat.incubateur.net/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","secretariat.incubateur.net/109.232.236.90","443","OK","not offered","",""
"SSLv3","secretariat.incubateur.net/109.232.236.90","443","OK","not offered","",""
"TLS1","secretariat.incubateur.net/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","secretariat.incubateur.net/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","secretariat.incubateur.net/109.232.236.90","443","OK","offered","",""
"TLS1_3","secretariat.incubateur.net/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","secretariat.incubateur.net/109.232.236.90","443","OK","h2","",""
"ALPN","secretariat.incubateur.net/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","secretariat.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","secretariat.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","secretariat.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","secretariat.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","secretariat.incubateur.net/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","secretariat.incubateur.net/109.232.236.90","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","secretariat.incubateur.net/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG","secretariat.incubateur.net/109.232.236.90","443","OK","offered","",""
"cipher_order-tls1_2","secretariat.incubateur.net/109.232.236.90","443","OK","server","",""
"cipherorder_TLSv1_2","secretariat.incubateur.net/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","secretariat.incubateur.net/109.232.236.90","443","OK","server","",""
"FS","secretariat.incubateur.net/109.232.236.90","443","OK","offered","",""
"FS_ciphers","secretariat.incubateur.net/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","secretariat.incubateur.net/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","secretariat.incubateur.net/109.232.236.90","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","secretariat.incubateur.net/109.232.236.90","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","secretariat.incubateur.net/109.232.236.90","443","INFO","yes","",""
"sessionresumption_ticket","secretariat.incubateur.net/109.232.236.90","443","INFO","not supported","",""
"sessionresumption_ID","secretariat.incubateur.net/109.232.236.90","443","INFO","not supported","",""
"TLS_timestamp","secretariat.incubateur.net/109.232.236.90","443","INFO","random","",""
"certificate_compression","secretariat.incubateur.net/109.232.236.90","443","INFO","none","",""
"clientAuth","secretariat.incubateur.net/109.232.236.90","443","INFO","none","",""
"cert_numbers","secretariat.incubateur.net/109.232.236.90","443","INFO","1","",""
"cert_signatureAlgorithm","secretariat.incubateur.net/109.232.236.90","443","OK","SHA256 with RSA","",""
"cert_keySize","secretariat.incubateur.net/109.232.236.90","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","secretariat.incubateur.net/109.232.236.90","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","secretariat.incubateur.net/109.232.236.90","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","secretariat.incubateur.net/109.232.236.90","443","INFO","03D2BD4B5C07F38FC3153AB44A1E469AEECD","",""
"cert_serialNumberLen","secretariat.incubateur.net/109.232.236.90","443","INFO","18","",""
"cert_fingerprintSHA1","secretariat.incubateur.net/109.232.236.90","443","INFO","2CD41966B4A3039F805AD473212B25C7849A2B0D","",""
"cert_fingerprintSHA256","secretariat.incubateur.net/109.232.236.90","443","INFO","F160371B4D2600C49A82235A47B8A303A8148FD33AA086BB33A8A7A9E503506C","",""
