"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sepia.defense.gouv.fr/51.15.192.115","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","sepia.defense.gouv.fr/51.15.192.115","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sepia.defense.gouv.fr/51.15.192.115","443","OK","not offered","",""
"SSLv3","sepia.defense.gouv.fr/51.15.192.115","443","OK","not offered","",""
"TLS1","sepia.defense.gouv.fr/51.15.192.115","443","INFO","not offered","",""
"TLS1_1","sepia.defense.gouv.fr/51.15.192.115","443","INFO","not offered","",""
"TLS1_2","sepia.defense.gouv.fr/51.15.192.115","443","OK","offered","",""
"TLS1_3","sepia.defense.gouv.fr/51.15.192.115","443","OK","offered with final","",""
"ALPN","sepia.defense.gouv.fr/51.15.192.115","443","INFO","not offered","",""
"cipherlist_NULL","sepia.defense.gouv.fr/51.15.192.115","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sepia.defense.gouv.fr/51.15.192.115","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sepia.defense.gouv.fr/51.15.192.115","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sepia.defense.gouv.fr/51.15.192.115","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sepia.defense.gouv.fr/51.15.192.115","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","sepia.defense.gouv.fr/51.15.192.115","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","sepia.defense.gouv.fr/51.15.192.115","443","INFO","not offered","",""
"cipherlist_STRONG","sepia.defense.gouv.fr/51.15.192.115","443","MEDIUM","not offered","",""
