"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sppnaut.beta.gouv.fr/87.98.182.136","443","INFO","HTTP","",""
"pre_128cipher","sppnaut.beta.gouv.fr/87.98.182.136","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sppnaut.beta.gouv.fr/87.98.182.136","443","OK","not offered","",""
"SSLv3","sppnaut.beta.gouv.fr/87.98.182.136","443","OK","not offered","",""
"TLS1","sppnaut.beta.gouv.fr/87.98.182.136","443","INFO","not offered","",""
"TLS1_1","sppnaut.beta.gouv.fr/87.98.182.136","443","INFO","not offered","",""
"TLS1_2","sppnaut.beta.gouv.fr/87.98.182.136","443","OK","offered","",""
"TLS1_3","sppnaut.beta.gouv.fr/87.98.182.136","443","OK","offered with final","",""
"ALPN","sppnaut.beta.gouv.fr/87.98.182.136","443","INFO","not offered","",""
"cipherlist_NULL","sppnaut.beta.gouv.fr/87.98.182.136","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sppnaut.beta.gouv.fr/87.98.182.136","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sppnaut.beta.gouv.fr/87.98.182.136","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sppnaut.beta.gouv.fr/87.98.182.136","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sppnaut.beta.gouv.fr/87.98.182.136","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","sppnaut.beta.gouv.fr/87.98.182.136","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","sppnaut.beta.gouv.fr/87.98.182.136","443","OK","offered","",""
"cipherlist_STRONG","sppnaut.beta.gouv.fr/87.98.182.136","443","OK","offered","",""
"cipherorder_TLSv1_2","sppnaut.beta.gouv.fr/87.98.182.136","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","sppnaut.beta.gouv.fr/87.98.182.136","443","OK","server","",""
"protocol_negotiated","sppnaut.beta.gouv.fr/87.98.182.136","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","sppnaut.beta.gouv.fr/87.98.182.136","443","OK","TLS_AES_256_GCM_SHA384, 256 bit ECDH (P-256)","",""
