"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","HTTP","",""
"pre_128cipher","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","No 128 cipher limit bug","",""
"SSLv2","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","not offered","",""
"SSLv3","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","not offered","",""
"TLS1","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","not offered","",""
"TLS1_1","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","not offered","",""
"TLS1_2","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","offered","",""
"TLS1_3","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","offered with final","",""
"ALPN_HTTP2","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","h2","",""
"ALPN","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","http/1.1","",""
"cipherlist_NULL","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","not offered","","CWE-327"
"cipherlist_LOW","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","stargate.igloo.fabnum.fr/51.159.27.6","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","not offered","",""
"cipherlist_STRONG_FS","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","offered","",""
"cipher_order-tls1_2","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","server","",""
"cipherorder_TLSv1_2","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","server","",""
"FS","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","offered","",""
"FS_ciphers","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","yes","",""
"sessionresumption_ticket","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","not supported","",""
"sessionresumption_ID","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","supported","",""
"TLS_timestamp","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","random","",""
"certificate_compression","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","none","",""
"clientAuth","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","none","",""
"cert_numbers","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","1","",""
"cert_signatureAlgorithm","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","SHA256 with RSA","",""
"cert_keySize","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","C365F3CC1C0965DA458DAE5FA7B92823","",""
"cert_serialNumberLen","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","16","",""
"cert_fingerprintSHA1","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","7577C346F25B73A7607B243926078AD63E2EB5CC","",""
"cert_fingerprintSHA256","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","7B642632D36143BC70832F6A322CC41DD6B44FD2AE6D89544897E8FFB008F997","",""
"cert","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDBDCCAeygAwIBAgIRAMNl88wcCWXaRY2uX6e5KCMwDQYJKoZIhvcNAQELBQAwIDEeMBwGA1UEAxMVa3ViZXJuZXRlcy1pbmdyZXNzLWNhMB4XDTIwMTIxNjEzMzgxNloXDTIxMTIxNjEzMzgxNlowGjEYMBYGA1UEAxMPaGFwcm94eS5nYXRld2F5MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0DrAx8ylMXE+ydxCy2LCwZDdbUAJtxUkjNY5qt41eyRrVVUlKOJI4KPoGwqJJloVrTZSUJl4OuQJrqdE8lE3PCSxrjE1KQkfTyiVjyu3OGpqv0sL3ZmQAqkKouKBuHsaKivYFnzaHdBbkTR46qWhzfa3QYIxhR2VLoqMfE41V9bZ76ETWReFhHrXIYENBxqjKcXsSqYZ+r8Kj0MH+G+ZJx5+OVDmdirmB+ydpZOEBhLTe5jMqjsa9aUUB0x+gY14fqgkVJObsZq6kBLoW2dCIx1yVMlLyUJtE5lkLmKWYusbpTF7i/qcLppZp2ZBIiCFrEVR3DOjjdUr3mhdtnmjrQIDAQABoz8wPTAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwDQYJKoZIhvcNAQELBQADggEBAHsm/LtLFl1I+WcrSfeyBl+DW7lnG1kQ+rf//ZZAZSSs8x7veOabFBYknhbfX6Q4HCsdBO/G2Z43pK/kT5LIreOzyMhpDnWJn2q8S4FpOZHN6cs0xpXsLnyE0FFURJse9rSGd21BeicNR0TAxOWkg9253aDHuu0XL5gOq/S16LzEsuyiegqyj6QdKc1VVfUNUBUsb+uI2FpFJz+GFDkoCFnNZE6MEsZQo7oL/rAtabfFyZuyPlXHmXcrk4ZAiNc8oEpKZ6d8CqS1T26yuGFCtw17bOM1QsbE0EZEARSPPEINuzfVaO7H+Q3xBv6jPt/lxwvhBkKPBCmsyqM7FlydGbI=\n-----END CERTIFICATE-----","",""
"cert_commonName","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","haproxy.gateway","",""
"cert_commonName_wo_SNI","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","haproxy.gateway","",""
"cert_subjectAltName","stargate.igloo.fabnum.fr/51.159.27.6","443","HIGH","No SAN, browsers are complaining","",""
"cert_trust","stargate.igloo.fabnum.fr/51.159.27.6","443","HIGH","certificate does not match supplied URI (same w/o SNI)","",""
"cert_chain_of_trust","stargate.igloo.fabnum.fr/51.159.27.6","443","CRITICAL","failed (chain incomplete).","",""
"cert_certificatePolicies_EV","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","no","",""
"cert_expirationStatus","stargate.igloo.fabnum.fr/51.159.27.6","443","CRITICAL","expired","",""
"cert_notBefore","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","2020-12-16 13:38","",""
"cert_notAfter","stargate.igloo.fabnum.fr/51.159.27.6","443","CRITICAL","2021-12-16 13:38","",""
"cert_extlifeSpan","stargate.igloo.fabnum.fr/51.159.27.6","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","not present","",""
"cert_crlDistributionPoints","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","--","",""
"cert_ocspURL","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","--","",""
"cert_revocation","stargate.igloo.fabnum.fr/51.159.27.6","443","HIGH","Neither CRL nor OCSP URI provided","",""
"OCSP_stapling","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","not offered","",""
"cert_mustStapleExtension","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","--","",""
"DNS_CAArecord","stargate.igloo.fabnum.fr/51.159.27.6","443","LOW","--","",""
"certificate_transparency","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","--","",""
"certs_countServer","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","1","",""
"certs_list_ordering_problem","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","no","",""
"cert_caIssuers","stargate.igloo.fabnum.fr/51.159.27.6","443","INFO","kubernetes-ingress-ca","",""
